1,Луч-Энергия,Москва,0,1
1,Томь,Спартак-Нальчик,2,0
1,Крылья,Химки,1,0
1,Зенит,Сатурн,1,1
1,ЦСКА,Рубин,3,1
1,Динамо,Спартак,0,1
1,Амкар,Ростов,3,1
1,Кубань,Локомотив,0,0
2,Химки,Кубань,1,0
2,Москва,Томь,2,0
2,Спартак-Нальчик,Крылья,0,0
2,Локомотив,Рубин,2,1
2,Динамо,ЦСКА,1,1
2,Ростов,Зенит,2,3
2,Сатурн,Луч-Энергия,0,1
2,Спартак,Амкар,0,0
3,Зенит,Спартак,1,3
3,Томь,Сатурн,1,1
3,Амкар,Динамо,1,1
3,Крылья,Москва,0,0
3,ЦСКА,Локомотив,2,0
3,Рубин,Химки,2,1
3,Луч-Энергия,Ростов,1,1
3,Кубань,Спартак-Нальчик,2,2
4,Динамо,Локомотив,2,1
4,Сатурн,Крылья,1,1
4,Москва,Кубань,1,0
4,Химки,ЦСКА,1,1
4,Амкар,Зенит,1,1
4,Ростов,Томь,2,2
4,Спартак,Луч-Энергия,2,1
4,Спартак-Нальчик,Рубин,1,0
5,Кубань,Сатурн,2,2
5,Луч-Энергия,Амкар,1,0
5,Зенит,Динамо,3,0
5,Крылья,Ростов,0,1
5,Рубин,Москва,1,1
5,Локомотив,Химки,1,0
5,ЦСКА,Спартак-Нальчик,2,0
5,Томь,Спартак,1,1
6,Ростов,Кубань,0,1
6,Амкар,Томь,3,3
6,Сатурн,Рубин,1,0
6,Динамо,Химки,2,1
6,Луч-Энергия,Зенит,0,1
6,Москва,ЦСКА,2,1
6,Спартак,Крылья,1,0
6,Спартак-Нальчик,Локомотив,0,0
7,Луч-Энергия,Динамо,0,1
7,Томь,Зенит,0,1
7,Химки,Спартак-Нальчик,1,0
7,Локомотив,Москва,1,1
7,ЦСКА,Сатурн,3,1
7,Крылья,Амкар,1,0
7,Рубин,Ростов,0,0
7,Кубань,Спартак,0,0
8,Луч-Энергия,Томь,0,0
8,Амкар,Кубань,0,0
8,Сатурн,Локомотив,1,1
8,Москва,Химки,0,2
8,Динамо,Спартак-Нальчик,2,0
8,Зенит,Крылья,1,1
8,Спартак,Рубин,2,1
8,Ростов,ЦСКА,1,1
9,Томь,Динамо,1,0
9,ЦСКА,Спартак,1,1
9,Крылья,Луч-Энергия,3,0
9,Спартак-Нальчик,Москва,1,0
9,Химки,Сатурн,0,0
9,Рубин,Амкар,1,0
9,Локомотив,Ростов,2,0
9,Кубань,Зенит,1,1
10,Спартак,Локомотив,1,2
10,Ростов,Химки,1,1
10,Сатурн,Спартак-Нальчик,1,1
10,Кубань,Луч-Энергия,1,1
10,Зенит,Рубин,2,1
10,Амкар,ЦСКА,1,1
10,Томь,Крылья,1,2
10,Динамо,Москва,0,0
11,Химки,Спартак,3,0
11,Рубин,Луч-Энергия,3,0
11,ЦСКА,Зенит,2,0
11,Крылья,Динамо,3,2
11,Кубань,Томь,2,1
11,Спартак-Нальчик,Ростов,0,0
11,Локомотив,Амкар,0,1
11,Москва,Сатурн,3,2
12,Томь,Рубин,2,0
12,Амкар,Химки,3,1
12,Крылья,Кубань,2,3
12,Луч-Энергия,ЦСКА,4,0
12,Спартак,Спартак-Нальчик,2,2
12,Динамо,Сатурн,1,1
12,Ростов,Москва,1,1
12,Зенит,Локомотив,1,1
13,Луч-Энергия,Локомотив,3,0
13,ЦСКА,Томь,0,0
13,Химки,Зенит,2,2
13,Сатурн,Ростов,1,0
13,Рубин,Крылья,1,0
13,Спартак-Нальчик,Амкар,0,1
13,Москва,Спартак,2,0
13,Кубань,Динамо,0,4
14,Спартак,Сатурн,2,0
14,Луч-Энергия,Химки,1,1
14,Динамо,Ростов,3,0
14,Кубань,Рубин,0,1
14,Томь,Локомотив,4,2
14,Крылья,ЦСКА,1,0
14,Амкар,Москва,1,1
14,Зенит,Спартак-Нальчик,4,3
15,Сатурн,Амкар,2,0
15,Локомотив,Крылья,5,2
15,Спартак-Нальчик,Луч-Энергия,2,0
15,Москва,Зенит,0,3
15,ЦСКА,Кубань,0,0
15,Химки,Томь,1,1
15,Рубин,Динамо,2,1
15,Ростов,Спартак,1,3
16,Луч-Энергия,Сатурн,2,1
16,ЦСКА,Динамо,0,1
16,Амкар,Спартак,0,1
16,Кубань,Химки,1,1
16,Томь,Москва,1,2
16,Крылья,Спартак-Нальчик,1,2
16,Зенит,Ростов,2,0
16,Рубин,Локомотив,3,0
17,Химки,Рубин,0,0
17,Динамо,Амкар,0,0
17,Спартак,Зенит,3,1
17,Сатурн,Томь,0,0
17,Москва,Крылья,3,1
17,Ростов,Луч-Энергия,1,1
17,Локомотив,ЦСКА,1,2
17,Спартак-Нальчик,Кубань,1,0
18,Рубин,Спартак-Нальчик,2,1
18,Луч-Энергия,Спартак,1,1
18,Зенит,Амкар,0,0
18,Локомотив,Динамо,2,2
18,Томь,Ростов,1,1
18,Крылья,Сатурн,0,1
18,ЦСКА,Химки,0,0
18,Кубань,Москва,4,1
19,Химки,Локомотив,1,2
19,Динамо,Зенит,4,2
19,Сатурн,Кубань,2,0
19,Амкар,Луч-Энергия,1,0
19,Ростов,Крылья,1,1
19,Москва,Рубин,2,1
19,Спартак,Томь,3,2
19,Спартак-Нальчик,ЦСКА,1,1
20,Зенит,Луч-Энергия,3,1
20,Крылья,Спартак,0,2
20,Локомотив,Спартак-Нальчик,3,1
20,Химки,Динамо,1,0
20,ЦСКА,Москва,2,0
20,Томь,Амкар,0,1
20,Рубин,Сатурн,0,1
20,Кубань,Ростов,1,0
21,Сатурн,ЦСКА,2,2
