18,Штутгарт , Боруссия М ,2,0
18,Бохум , Карлсруэ ,2,0
18,Вердер , Арминия ,1,2
19,Арминия , Герта ,1,1
19,Шальке-04 , Вердер ,1,0
19,Карлсруэ , Гамбург ,3,2
19,Байер , Штутгарт ,2,4
19,Вольфсбург , Бохум ,2,0
19,Боруссия М , Хоффенхайм ,1,1
19,Айнтрахт , Кёльн ,2,2
19,Энерги , Ганновер-96 ,3,1
19,Бавария , Боруссия Д ,3,1
20,Хоффенхайм , Байер ,1,4
20,Герта , Бавария ,2,1
20,Бохум , Шальке-04 ,2,1
20,Айнтрахт , Вольфсбург ,0,2
20,Ганновер-96 , Штутгарт ,3,3
20,Кёльн , Карлсруэ ,0,0
20,Вердер , Боруссия М ,1,1
20,Боруссия Д , Энерги ,1,1
20,Гамбург , Арминия ,2,0
21,Шальке-04 , Боруссия Д ,1,1
21,Энерги , Вердер ,2,1
21,Боруссия М , Ганновер-96 ,3,2
21,Карлсруэ , Айнтрахт ,0,1
21,Вольфсбург , Герта ,2,1
21,Арминия , Бохум ,1,1
21,Штутгарт , Хоффенхайм ,3,3
21,Бавария , Кёльн ,1,2
21,Байер , Гамбург ,1,2
22,Кёльн , Арминия ,1,1
22,Айнтрахт , Шальке-04 ,1,2
22,Ганновер-96 , Байер ,1,0
22,Бохум , Энерги ,3,2
22,Герта , Боруссия М ,2,1
22,Боруссия Д , Хоффенхайм ,0,0
22,Вердер , Бавария ,0,0
22,Гамбург , Вольфсбург ,1,3
22,Карлсруэ , Штутгарт ,0,2
23,Шальке-04 , Кёльн ,1,0
23,Хоффенхайм , Вердер ,0,0
23,Боруссия М , Гамбург ,4,1
23,Бавария , Ганновер-96 ,5,1
23,Энерги , Герта ,1,3
23,Вольфсбург , Карлсруэ ,1,0
23,Штутгарт , Боруссия Д ,2,1
23,Арминия , Айнтрахт ,0,0
23,Байер , Бохум ,1,1
24,Вольфсбург , Шальке-04 ,4,3
24,Бохум , Бавария ,0,3
24,Герта , Байер ,1,0
24,Ганновер-96 , Боруссия Д ,4,4
24,Карлсруэ , Арминия ,0,1
24,Кёльн , Боруссия М ,2,4
24,Айнтрахт , Хоффенхайм ,1,1
24,Вердер , Штутгарт ,4,0
24,Гамбург , Энерги ,2,0
25,Боруссия М , Бохум ,0,1
25,Боруссия Д , Вердер ,1,0
25,Арминия , Вольфсбург ,0,3
25,Хоффенхайм , Ганновер-96 ,2,2
25,Байер , Айнтрахт ,1,1
25,Штутгарт , Герта ,2,0
25,Бавария , Карлсруэ ,1,0
25,Энерги , Кёльн ,0,2
25,Шальке-04 , Гамбург ,1,2
26,Арминия , Шальке-04 ,0,2
26,Вольфсбург , Бавария ,5,1
26,Бохум , Штутгарт ,1,2
26,Герта , Боруссия Д ,1,3
26,Айнтрахт , Энерги ,2,1
26,Гамбург , Хоффенхайм ,1,0
26,Кёльн , Байер ,0,2
26,Вердер , Ганновер-96 ,4,1
26,Карлсруэ , Боруссия М ,0,0
27,Боруссия М , Вольфсбург ,1,2
27,Бавария , Айнтрахт ,4,0
27,Ганновер-96 , Герта ,2,0
27,Шальке-04 , Карлсруэ ,2,0
27,Хоффенхайм , Бохум ,0,3
27,Энерги , Арминия ,2,1
27,Боруссия Д , Кёльн ,3,1
27,Байер , Вердер ,1,1
27,Штутгарт , Гамбург ,1,0
28,Шальке-04 , Энерги ,4,0
28,Арминия , Бавария ,0,1
28,Кёльн , Штутгарт ,0,3
28,Вольфсбург , Байер ,2,1
28,Бохум , Боруссия Д ,0,2
28,Айнтрахт , Боруссия М ,4,1
28,Карлсруэ , Хоффенхайм ,2,2
28,Герта , Вердер ,2,1
28,Гамбург , Ганновер-96 ,2,1
29,Хоффенхайм , Герта ,0,1
29,Бавария , Шальке-04 ,0,1
29,Боруссия Д , Гамбург ,2,0
29,Штутгарт , Айнтрахт ,2,0
29,Байер , Карлсруэ ,0,1
29,Вердер , Бохум ,3,2
29,Ганновер-96 , Кёльн ,2,1
29,Энерги , Вольфсбург ,2,0
29,Боруссия М , Арминия ,1,1
30,Бохум , Ганновер-96 ,0,2
30,Арминия , Штутгарт ,2,2
30,Шальке-04 , Байер ,1,2
30,Айнтрахт , Боруссия Д ,0,2
30,Карлсруэ , Энерги ,0,0
30,Бавария , Боруссия М ,2,1
30,Вольфсбург , Хоффенхайм ,4,0
30,Кёльн , Вердер ,1,0
30,Гамбург , Герта ,1,1
31,Байер , Арминия ,2,2
31,Энерги , Бавария ,1,3
31,Штутгарт , Вольфсбург ,4,1
31,Ганновер-96 , Айнтрахт ,1,1
31,Боруссия Д , Карлсруэ ,4,0
31,Герта , Бохум ,2,0
31,Хоффенхайм , Кёльн ,2,0
31,Боруссия М , Шальке-04 ,1,0
31,Вердер , Гамбург ,2,0
32,Бавария , Байер ,3,0
32,Карлсруэ , Ганновер-96 ,2,3
32,Кёльн , Герта ,1,2
32,Вольфсбург , Боруссия Д ,3,0
32,Айнтрахт , Вердер ,0,5
32,Шальке-04 , Штутгарт ,1,2
32,Гамбург , Бохум ,3,1
32,Энерги , Боруссия М ,0,1
32,Арминия , Хоффенхайм ,0,2
33,Хоффенхайм , Бавария ,2,2
33,Герта , Шальке-04 ,0,0
33,Ганновер-96 , Вольфсбург ,0,5
33,Бохум , Айнтрахт ,2,0
33,Вердер , Карлсруэ ,1,3
33,Штутгарт , Энерги ,2,0
33,Боруссия Д , Арминия ,6,0
33,Байер , Боруссия М ,5,0
33,Гамбург , Кёльн ,0,1
34,Вольфсбург , Вердер ,5,1
34,Айнтрахт , Гамбург ,2,3
34,Бавария , Штутгарт ,2,1
34,Энерги , Байер ,3,0
34,Арминия , Ганновер-96 ,2,2
34,Карлсруэ , Герта ,4,0
34,Кёльн , Бохум ,1,1
34,Боруссия М , Боруссия Д ,1,1
34,Шальке-04 , Хоффенхайм ,2,3
