19,Вольфсбург , Айнтрахт ,2,2
19,Бавария , Бохум ,0,0
19,Байер , Вердер ,0,2
19,Ганновер-96 , Герта ,5,0
19,Майнц , Боруссия Д ,1,0
19,Шальке-04 , Алемания ,2,1
19,Гамбург , Энерги ,1,1
20,Нюрнберг , Бавария ,3,0
20,Герта , Гамбург ,2,1
20,Вольфсбург , Байер ,3,2
20,Арминия , Боруссия М ,0,2
20,Айнтрахт , Майнц ,0,0
20,Алемания , Ганновер-96 ,1,4
20,Энерги , Бохум ,0,0
20,Вердер , Шальке-04 ,0,2
20,Боруссия Д , Штутгарт ,0,1
21,Ганновер-96 , Вольфсбург ,2,2
21,Штутгарт , Вердер ,4,1
21,Шальке-04 , Герта ,2,0
21,Гамбург , Боруссия Д ,3,0
21,Байер , Айнтрахт ,2,2
21,Боруссия М , Алемания ,0,0
21,Майнц , Энерги ,4,1
21,Бохум , Нюрнберг ,0,2
21,Бавария , Арминия ,1,0
22,Айнтрахт , Штутгарт ,0,4
22,Алемания , Бавария ,1,0
22,Вердер , Гамбург ,0,2
22,Вольфсбург , Шальке-04 ,2,2
22,Боруссия Д , Боруссия М ,1,0
22,Герта , Майнц ,1,2
22,Байер , Ганновер-96 ,0,1
22,Арминия , Бохум ,1,3
22,Нюрнберг , Энерги ,1,0
23,Штутгарт , Герта ,0,0
23,Ганновер-96 , Боруссия Д ,4,2
23,Майнц , Нюрнберг ,2,1
23,Энерги , Арминия ,2,1
23,Гамбург , Айнтрахт ,3,1
23,Бавария , Вольфсбург ,2,1
23,Бохум , Алемания ,2,2
23,Боруссия М , Вердер ,2,2
23,Шальке-04 , Байер ,0,1
24,Шальке-04 , Гамбург ,0,2
24,Герта , Бавария ,2,3
24,Арминия , Нюрнберг ,3,2
24,Байер , Штутгарт ,3,1
24,Вольфсбург , Боруссия М ,1,0
24,Айнтрахт , Ганновер-96 ,2,0
24,Вердер , Бохум ,3,0
24,Алемания , Майнц ,2,1
24,Боруссия Д , Энерги ,2,3
25,Нюрнберг , Айнтрахт ,2,2
25,Ганновер-96 , Шальке-04 ,1,1
25,Боруссия М , Герта ,3,1
25,Бохум , Боруссия Д ,2,0
25,Майнц , Арминия ,1,0
25,Штутгарт , Вольфсбург ,0,0
25,Энерги , Алемания ,0,2
25,Бавария , Вердер ,1,1
25,Гамбург , Байер ,0,0
26,Герта , Энерги ,0,1
26,Айнтрахт , Бавария ,1,0
26,Ганновер-96 , Гамбург ,0,0
26,Боруссия Д , Нюрнберг ,0,0
