17,Шальке-04 , Фрайбург ,1,3
17,Хоффенхайм , Боруссия Д ,1,3
17,Вердер , Нюрнберг ,1,1
18,Шальке-04 , Ганновер-96 ,5,4
18,Байер , Айнтрахт ,3,1
18,Хоффенхайм , Боруссия М ,0,0
18,Вольфсбург , Штутгарт ,2,0
18,Майнц , Фрайбург ,0,0
18,Бавария , Гройтер Фюрт ,2,0
18,Вердер , Боруссия Д ,0,5
18,Нюрнберг , Гамбург ,1,1
18,Фортуна , Аугсбург ,2,3
19,Боруссия Д , Нюрнберг ,3,0
19,Гройтер Фюрт , Майнц ,0,3
19,Боруссия М , Фортуна ,2,1
19,Аугсбург , Шальке-04 ,0,0
19,Ганновер-96 , Вольфсбург ,2,1
19,Айнтрахт , Хоффенхайм ,2,1
19,Фрайбург , Байер ,0,0
19,Гамбург , Вердер ,3,2
19,Штутгарт , Бавария ,0,2
20,Вердер , Ганновер-96 ,2,0
20,Вольфсбург , Аугсбург ,1,1
20,Шальке-04 , Гройтер Фюрт ,1,2
20,Майнц , Бавария ,0,3
20,Фортуна , Штутгарт ,3,1
20,Хоффенхайм , Фрайбург ,2,1
20,Гамбург , Айнтрахт ,0,2
20,Нюрнберг , Боруссия М ,2,1
20,Байер , Боруссия Д ,2,3
21,Ганновер-96 , Хоффенхайм ,1,0
21,Боруссия Д , Гамбург ,1,4
21,Боруссия М , Байер ,3,3
21,Гройтер Фюрт , Вольфсбург ,0,1
21,Штутгарт , Вердер ,1,4
21,Айнтрахт , Нюрнберг ,0,0
21,Бавария , Шальке-04 ,4,0
21,Аугсбург , Майнц ,1,1
21,Фрайбург , Фортуна ,1,0
22,Вольфсбург , Бавария ,0,2
22,Вердер , Фрайбург ,2,3
22,Байер , Аугсбург ,2,1
22,Фортуна , Гройтер Фюрт ,1,0
22,Майнц , Шальке-04 ,2,2
22,Гамбург , Боруссия М ,1,0
22,Боруссия Д , Айнтрахт ,3,0
22,Нюрнберг , Ганновер-96 ,2,2
22,Хоффенхайм , Штутгарт ,0,1
23,Фрайбург , Айнтрахт ,0,0
23,Бавария , Вердер ,6,1
23,Штутгарт , Нюрнберг ,1,1
23,Аугсбург , Хоффенхайм ,2,1
23,Ганновер-96 , Гамбург ,5,1
23,Майнц , Вольфсбург ,1,1
23,Шальке-04 , Фортуна ,2,1
23,Боруссия М , Боруссия Д ,1,1
23,Гройтер Фюрт , Байер ,0,0
24,Айнтрахт , Боруссия М ,0,1
24,Боруссия Д , Ганновер-96 ,3,1
24,Нюрнберг , Фрайбург ,1,1
24,Вердер , Аугсбург ,0,1
24,Гамбург , Гройтер Фюрт ,1,1
24,Вольфсбург , Шальке-04 ,1,4
24,Байер , Штутгарт ,2,1
24,Хоффенхайм , Бавария ,0,1
24,Фортуна , Майнц ,1,1
25,Аугсбург , Нюрнберг ,1,2
25,Майнц , Байер ,1,0
25,Фрайбург , Вольфсбург ,2,5
25,Гройтер Фюрт , Хоффенхайм ,0,3
25,Шальке-04 , Боруссия Д ,2,1
25,Бавария , Фортуна ,3,2
25,Боруссия М , Вердер ,1,1
25,Ганновер-96 , Айнтрахт ,0,0
25,Штутгарт , Гамбург ,0,1
26,Вольфсбург , Фортуна ,1,1
26,Нюрнберг , Шальке-04 ,3,0
26,Боруссия Д , Фрайбург ,5,1
26,Хоффенхайм , Майнц ,0,0
26,Гамбург , Аугсбург ,0,1
26,Вердер , Гройтер Фюрт ,2,2
26,Байер , Бавария ,1,2
26,Айнтрахт , Штутгарт ,1,2
26,Боруссия М , Ганновер-96 ,1,0
27,Штутгарт , Боруссия Д ,1,2
27,Фрайбург , Боруссия М ,2,0
27,Фортуна , Байер ,1,4
27,Аугсбург , Ганновер-96 ,0,2
27,Майнц , Вердер ,1,1
27,Шальке-04 , Хоффенхайм ,3,0
27,Бавария , Гамбург ,9,2
27,Вольфсбург , Нюрнберг ,2,2
27,Гройтер Фюрт , Айнтрахт ,2,3
28,Хоффенхайм , Фортуна ,3,0
28,Боруссия Д , Аугсбург ,4,2
28,Боруссия М , Гройтер Фюрт ,1,0
28,Айнтрахт , Бавария ,0,1
28,Вердер , Шальке-04 ,0,2
28,Байер , Вольфсбург ,1,1
28,Гамбург , Фрайбург ,0,1
28,Нюрнберг , Майнц ,2,1
28,Ганновер-96 , Штутгарт ,0,0
29,Фрайбург , Ганновер-96 ,3,1
29,Бавария , Нюрнберг ,4,0
29,Вольфсбург , Хоффенхайм ,2,2
29,Майнц , Гамбург ,1,2
29,Гройтер Фюрт , Боруссия Д ,1,6
29,Фортуна , Вердер ,2,2
29,Шальке-04 , Байер ,2,2
29,Штутгарт , Боруссия М ,2,0
29,Аугсбург , Айнтрахт ,2,0
30,Боруссия М , Аугсбург ,1,0
30,Боруссия Д , Майнц ,2,0
30,Ганновер-96 , Бавария ,1,6
30,Гамбург , Фортуна ,2,1
30,Айнтрахт , Шальке-04 ,1,0
30,Байер , Хоффенхайм ,5,0
30,Вердер , Вольфсбург ,0,3
30,Штутгарт , Фрайбург ,2,1
30,Нюрнберг , Гройтер Фюрт ,0,1
31,Гройтер Фюрт , Ганновер-96 ,2,3
31,Байер , Вердер ,1,0
31,Хоффенхайм , Нюрнберг ,2,1
31,Бавария , Фрайбург ,1,0
31,Вольфсбург , Боруссия М ,3,1
31,Аугсбург , Штутгарт ,3,0
31,Фортуна , Боруссия Д ,1,2
31,Майнц , Айнтрахт ,0,0
31,Шальке-04 , Гамбург ,4,1
32,Боруссия М , Шальке-04 ,0,1
32,Нюрнберг , Байер ,0,2
32,Вердер , Хоффенхайм ,2,2
32,Ганновер-96 , Майнц ,2,2
32,Штутгарт , Гройтер Фюрт ,0,2
32,Айнтрахт , Фортуна ,3,1
32,Боруссия Д , Бавария ,1,1
32,Фрайбург , Аугсбург ,2,0
32,Гамбург , Вольфсбург ,1,1
33,Майнц , Боруссия М ,2,4
33,Шальке-04 , Штутгарт ,1,2
33,Байер , Ганновер-96 ,3,1
33,Фортуна , Нюрнберг ,1,2
33,Гройтер Фюрт , Фрайбург ,1,2
33,Бавария , Аугсбург ,3,0
