18,Байер , Майнц ,4,2
18,Штутгарт , Вольфсбург ,3,1
18,Шальке-04 , Нюрнберг ,1,0
18,Кёльн , Боруссия Д ,2,3
19,Фрайбург , Штутгарт ,0,1
19,Вердер , Бавария ,2,3
19,Бохум , Шальке-04 ,2,2
19,Майнц , Ганновер-96 ,1,0
19,Нюрнберг , Айнтрахт ,1,1
19,Герта , Боруссия М ,0,0
19,Боруссия Д , Гамбург ,1,0
19,Вольфсбург , Кёльн ,2,3
19,Хоффенхайм , Байер ,0,3
20,Гамбург , Вольфсбург ,1,1
20,Боруссия М , Вердер ,4,3
20,Айнтрахт , Кёльн ,1,2
20,Герта , Бохум ,0,0
20,Бавария , Майнц ,3,0
20,Ганновер-96 , Нюрнберг ,1,3
20,Шальке-04 , Хоффенхайм ,2,0
20,Штутгарт , Боруссия Д ,4,1
20,Байер , Фрайбург ,3,1
21,Вердер , Герта ,2,1
21,Вольфсбург , Бавария ,1,3
21,Кёльн , Гамбург ,3,3
21,Фрайбург , Шальке-04 ,0,0
21,Бохум , Байер ,1,1
21,Хоффенхайм , Ганновер-96 ,2,1
21,Нюрнберг , Штутгарт ,1,2
21,Майнц , Боруссия М ,1,0
21,Боруссия Д , Айнтрахт ,2,3
22,Боруссия М , Нюрнберг ,2,1
22,Байер , Вольфсбург ,2,1
22,Штутгарт , Гамбург ,1,3
22,Бохум , Хоффенхайм ,2,1
22,Ганновер-96 , Вердер ,1,5
22,Герта , Майнц ,1,1
22,Бавария , Боруссия Д ,3,1
22,Шальке-04 , Кёльн ,2,0
22,Айнтрахт , Фрайбург ,2,1
23,Хоффенхайм , Боруссия М ,2,2
23,Нюрнберг , Бавария ,1,1
23,Кёльн , Штутгарт ,1,5
23,Боруссия Д , Ганновер-96 ,4,1
23,Гамбург , Айнтрахт ,0,0
23,Майнц , Бохум ,0,0
23,Фрайбург , Герта ,0,3
23,Вольфсбург , Шальке-04 ,2,1
23,Вердер , Байер ,2,2
24,Шальке-04 , Боруссия Д ,2,1
24,Герта , Хоффенхайм ,0,2
24,Майнц , Вердер ,1,2
24,Штутгарт , Айнтрахт ,2,1
24,Боруссия М , Фрайбург ,1,1
24,Бохум , Нюрнберг ,0,0
24,Байер , Кёльн ,0,0
24,Ганновер-96 , Вольфсбург ,0,1
24,Бавария , Гамбург ,1,0
25,Кёльн , Бавария ,1,1
25,Вердер , Штутгарт ,2,2
25,Гамбург , Герта ,1,0
25,Айнтрахт , Шальке-04 ,1,4
