18,Шальке-04 , Штутгарт ,4,1
18,Вердер , Бохум ,1,2
19,Айнтрахт , Арминия ,2,1
19,Байер , Гамбург ,1,1
19,Штутгарт , Герта ,1,3
19,Бохум , Энерги ,3,3
19,Ганновер-96 , Карлсруэ ,2,2
19,Нюрнберг , Ганза ,1,1
19,Вольфсбург , Дуйсбург ,2,1
19,Боруссия Д , Шальке-04 ,2,3
19,Бавария , Вердер ,1,1
20,Шальке-04 , Вольфсбург ,1,2
20,Дуйсбург , Штутгарт ,2,3
20,Карлсруэ , Байер ,2,2
20,Вердер , Нюрнберг ,2,0
20,Энерги , Боруссия Д ,0,2
20,Герта , Арминия ,1,0
20,Ганза , Айнтрахт ,1,0
20,Ганновер-96 , Бавария ,0,3
20,Гамбург , Бохум ,3,0
21,Бохум , Ганновер-96 ,2,1
21,Байер , Шальке-04 ,1,0
21,Айнтрахт , Вердер ,1,0
21,Вольфсбург , Герта ,0,0
21,Штутгарт , Карлсруэ ,3,1
21,Боруссия Д , Ганза ,1,0
21,Арминия , Дуйсбург ,0,2
21,Бавария , Гамбург ,1,1
21,Нюрнберг , Энерги ,1,1
22,Герта , Дуйсбург ,2,0
22,Шальке-04 , Бавария ,0,1
22,Ганновер-96 , Нюрнберг ,2,1
22,Вердер , Боруссия Д ,2,0
22,Ганза , Арминия ,1,1
22,Карлсруэ , Вольфсбург ,3,1
22,Бохум , Байер ,2,0
22,Гамбург , Айнтрахт ,4,1
23,Боруссия Д , Герта ,1,1
23,Арминия , Шальке-04 ,0,2
23,Штутгарт , Вердер ,6,3
23,Айнтрахт , Бохум ,1,1
23,Вольфсбург , Энерги ,3,0
23,Бавария , Карлсруэ ,2,0
23,Дуйсбург , Ганза ,1,1
23,Нюрнберг , Гамбург ,0,0
23,Байер , Ганновер-96 ,2,0
22,Энерги , Штутгарт ,0,1
24,Шальке-04 , Дуйсбург ,2,1
24,Бохум , Штутгарт ,1,1
24,Энерги , Бавария ,2,0
24,Гамбург , Боруссия Д ,1,0
24,Ганза , Герта ,0,0
24,Ганновер-96 , Арминия ,2,2
24,Карлсруэ , Айнтрахт ,0,1
24,Байер , Нюрнберг ,4,1
24,Вердер , Вольфсбург ,0,1
25,Айнтрахт , Энерги ,2,1
25,Бавария , Байер ,2,1
25,Вольфсбург , Гамбург ,1,1
25,Нюрнберг , Бохум ,1,1
25,Дуйсбург , Ганновер-96 ,1,1
25,Боруссия Д , Карлсруэ ,1,1
25,Штутгарт , Ганза ,4,1
25,Герта , Шальке-04 ,1,2
25,Арминия , Вердер ,1,1
26,Ганза , Вольфсбург ,0,1
26,Карлсруэ , Шальке-04 ,0,0
26,Нюрнберг , Бавария ,1,1
26,Бохум , Боруссия Д ,3,3
26,Гамбург , Арминия ,1,1
26,Байер , Айнтрахт ,0,2
