17,Нюрнберг , Ганновер-96 ,3,1
17,Санкт-Паули , Майнц ,2,4
17,Байер , Фрайбург ,2,2
17,Штутгарт , Бавария ,3,5
18,Байер , Боруссия Д ,1,3
18,Вердер , Хоффенхайм ,2,1
18,Штутгарт , Майнц ,1,0
18,Вольфсбург , Бавария ,1,1
18,Нюрнберг , Боруссия М ,0,1
18,Санкт-Паули , Фрайбург ,2,2
18,Шальке-04 , Гамбург ,0,1
18,Айнтрахт , Ганновер-96 ,0,3
18,Кайзерслаутерн , Кёльн ,1,1
19,Гамбург , Айнтрахт ,1,0
19,Бавария , Кайзерслаутерн ,5,1
19,Боруссия Д , Штутгарт ,1,1
19,Майнц , Вольфсбург ,0,1
19,Фрайбург , Нюрнберг ,1,1
19,Ганновер-96 , Шальке-04 ,0,1
19,Кёльн , Вердер ,3,0
19,Боруссия М , Байер ,1,3
19,Хоффенхайм , Санкт-Паули ,2,2
20,Байер , Ганновер-96 ,2,0
20,Шальке-04 , Хоффенхайм ,0,1
20,Вердер , Бавария ,1,3
20,Вольфсбург , Боруссия Д ,0,3
20,Нюрнберг , Гамбург ,2,0
20,Санкт-Паули , Кёльн ,3,0
20,Кайзерслаутерн , Майнц ,0,1
20,Штутгарт , Фрайбург ,0,1
20,Айнтрахт , Боруссия М ,0,1
21,Боруссия Д , Шальке-04 ,0,0
21,Майнц , Вердер ,1,1
21,Хоффенхайм , Кайзерслаутерн ,3,2
21,Кёльн , Бавария ,3,2
21,Ганновер-96 , Вольфсбург ,1,0
21,Нюрнберг , Байер ,1,0
21,Боруссия М , Штутгарт ,2,3
21,Фрайбург , Айнтрахт ,0,0
21,Гамбург , Санкт-Паули ,0,1
22,Бавария , Хоффенхайм ,4,0
22,Шальке-04 , Фрайбург ,1,0
22,Штутгарт , Нюрнберг ,1,4
22,Вольфсбург , Гамбург ,0,1
22,Айнтрахт , Байер ,0,3
22,Санкт-Паули , Боруссия М ,3,1
22,Кайзерслаутерн , Боруссия Д ,1,1
22,Кёльн , Майнц ,4,2
22,Вердер , Ганновер-96 ,1,1
23,Нюрнберг , Айнтрахт ,3,0
23,Боруссия Д , Санкт-Паули ,2,0
23,Гамбург , Вердер ,4,0
23,Хоффенхайм , Кёльн ,1,1
23,Фрайбург , Вольфсбург ,2,1
23,Ганновер-96 , Кайзерслаутерн ,3,0
23,Майнц , Бавария ,1,3
23,Байер , Штутгарт ,4,2
23,Боруссия М , Шальке-04 ,2,1
24,Вольфсбург , Боруссия М ,2,1
24,Шальке-04 , Нюрнберг ,1,1
24,Хоффенхайм , Майнц ,1,2
24,Кёльн , Фрайбург ,1,0
24,Кайзерслаутерн , Гамбург ,1,1
24,Санкт-Паули , Ганновер-96 ,0,1
24,Бавария , Боруссия Д ,1,3
24,Айнтрахт , Штутгарт ,0,2
24,Вердер , Байер ,2,2
25,Боруссия Д , Кёльн ,1,0
25,Штутгарт , Шальке-04 ,1,0
25,Боруссия М , Хоффенхайм ,2,0
25,Ганновер-96 , Бавария ,3,1
25,Нюрнберг , Санкт-Паули ,5,0
25,Айнтрахт , Кайзерслаутерн ,0,0
25,Байер , Вольфсбург ,3,0
25,Фрайбург , Вердер ,1,3
25,Гамбург , Майнц ,2,4
26,Кёльн , Ганновер-96 ,4,0
26,Бавария , Гамбург ,6,0
26,Шальке-04 , Айнтрахт ,2,1
26,Вольфсбург , Нюрнберг ,1,2
26,Хоффенхайм , Боруссия Д ,1,0
26,Кайзерслаутерн , Фрайбург ,2,1
26,Вердер , Боруссия М ,1,1
26,Майнц , Байер ,0,1
26,Санкт-Паули , Штутгарт ,1,2
27,Боруссия М , Кайзерслаутерн ,0,1
27,Гамбург , Кёльн ,6,2
27,Айнтрахт , Санкт-Паули ,2,1
27,Фрайбург , Бавария ,1,2
27,Ганновер-96 , Хоффенхайм ,2,0
27,Нюрнберг , Вердер ,1,3
27,Боруссия Д , Майнц ,1,1
27,Байер , Шальке-04 ,2,0
27,Штутгарт , Вольфсбург ,1,1
28,Санкт-Паули , Шальке-04 ,0,2
28,Бавария , Боруссия М ,1,0
28,Вердер , Штутгарт ,1,1
28,Боруссия Д , Ганновер-96 ,4,1
28,Майнц , Фрайбург ,1,1
28,Кайзерслаутерн , Байер ,0,1
28,Хоффенхайм , Гамбург ,0,0
28,Кёльн , Нюрнберг ,1,0
28,Вольфсбург , Айнтрахт ,1,1
29,Айнтрахт , Вердер ,1,1
29,Шальке-04 , Вольфсбург ,1,0
29,Гамбург , Боруссия Д ,1,1
29,Фрайбург , Хоффенхайм ,3,2
29,Ганновер-96 , Майнц ,2,0
29,Нюрнберг , Бавария ,1,1
29,Штутгарт , Кайзерслаутерн ,2,4
29,Боруссия М , Кёльн ,5,1
29,Байер , Санкт-Паули ,2,1
30,Майнц , Боруссия М ,1,0
30,Гамбург , Ганновер-96 ,0,0
30,Вольфсбург , Санкт-Паули ,2,2
30,Хоффенхайм , Айнтрахт ,1,0
30,Кёльн , Штутгарт ,1,3
30,Кайзерслаутерн , Нюрнберг ,0,2
30,Вердер , Шальке-04 ,1,1
30,Бавария , Байер ,5,1
30,Боруссия Д , Фрайбург ,3,0
31,Фрайбург , Ганновер-96 ,1,3
31,Шальке-04 , Кайзерслаутерн ,0,1
31,Байер , Хоффенхайм ,2,1
31,Штутгарт , Гамбург ,3,0
31,Айнтрахт , Бавария ,1,1
31,Санкт-Паули , Вердер ,1,3
31,Боруссия М , Боруссия Д ,1,0
31,Вольфсбург , Кёльн ,4,1
31,Нюрнберг , Майнц ,0,0
32,Вердер , Вольфсбург ,0,1
32,Кайзерслаутерн , Санкт-Паули ,2,0
32,Боруссия Д , Нюрнберг ,2,0
32,Гамбург , Фрайбург ,0,2
32,Майнц , Айнтрахт ,3,0
32,Хоффенхайм , Штутгарт ,1,2
32,Кёльн , Байер ,2,0
