17,Нюрнберг , Шальке-04 ,0,0
17,Боруссия М , Вольфсбург ,2,2
17,Штутгарт , Бавария ,1,2
18,Боруссия М , Бавария ,0,2
18,Боруссия Д , Аугсбург ,2,2
18,Штутгарт , Майнц ,1,2
18,Вольфсбург , Ганновер-96 ,1,3
18,Нюрнберг , Хоффенхайм ,4,0
18,Фрайбург , Байер ,3,2
18,Айнтрахт Ф , Герта ,1,0
18,Вердер , Айнтрахт Б ,0,0
18,Гамбург , Шальке-04 ,0,3
19,Айнтрахт Б , Боруссия Д ,1,2
19,Шальке-04 , Вольфсбург ,2,1
19,Байер , Штутгарт ,2,1
19,Хоффенхайм , Гамбург ,3,0
19,Майнц , Фрайбург ,2,0
19,Аугсбург , Вердер ,3,1
19,Ганновер-96 , Боруссия М ,3,1
19,Герта , Нюрнберг ,1,3
19,Бавария , Айнтрахт Ф ,5,0
20,Боруссия М , Байер ,0,1
20,Вольфсбург , Майнц ,3,0
20,Вердер , Боруссия Д ,1,5
20,Нюрнберг , Бавария ,0,2
20,Фрайбург , Хоффенхайм ,1,1
20,Айнтрахт Ф , Айнтрахт Б ,3,0
20,Гамбург , Герта ,0,3
20,Штутгарт , Аугсбург ,1,4
20,Шальке-04 , Ганновер-96 ,2,0
21,Майнц , Ганновер-96 ,2,0
21,Боруссия Д , Айнтрахт Ф ,4,0
21,Бавария , Фрайбург ,4,0
21,Вердер , Боруссия М ,1,1
21,Хоффенхайм , Штутгарт ,4,1
21,Айнтрахт Б , Гамбург ,4,2
21,Байер , Шальке-04 ,1,2
21,Аугсбург , Нюрнберг ,0,1
21,Герта , Вольфсбург ,1,2
22,Шальке-04 , Майнц ,0,0
22,Боруссия М , Хоффенхайм ,2,2
22,Штутгарт , Герта ,1,2
22,Нюрнберг , Айнтрахт Б ,2,1
22,Фрайбург , Аугсбург ,2,4
22,Гамбург , Боруссия Д ,3,0
22,Вольфсбург , Байер ,3,1
22,Айнтрахт Ф , Вердер ,0,0
22,Ганновер-96 , Бавария ,0,4
23,Герта , Фрайбург ,0,0
23,Боруссия Д , Нюрнберг ,3,0
23,Байер , Майнц ,0,1
23,Вердер , Гамбург ,1,0
23,Аугсбург , Ганновер-96 ,1,1
23,Айнтрахт Б , Боруссия М ,1,1
23,Бавария , Шальке-04 ,5,1
23,Хоффенхайм , Вольфсбург ,6,2
23,Айнтрахт Ф , Штутгарт ,2,1
24,Шальке-04 , Хоффенхайм ,4,0
24,Боруссия М , Аугсбург ,1,2
24,Штутгарт , Айнтрахт Б ,2,2
24,Ганновер-96 , Байер ,1,1
24,Вольфсбург , Бавария ,1,6
24,Гамбург , Айнтрахт Ф ,1,1
24,Нюрнберг , Вердер ,0,2
24,Фрайбург , Боруссия Д ,0,1
24,Майнц , Герта ,1,1
25,Аугсбург , Шальке-04 ,1,2
25,Боруссия Д , Боруссия М ,1,2
25,Вердер , Штутгарт ,1,1
25,Хоффенхайм , Майнц ,2,4
25,Айнтрахт Б , Вольфсбург ,1,1
25,Герта , Ганновер-96 ,0,3
25,Бавария , Байер ,2,1
25,Гамбург , Нюрнберг ,2,1
25,Айнтрахт Ф , Фрайбург ,1,4
26,Фрайбург , Вердер ,3,1
26,Шальке-04 , Айнтрахт Б ,3,1
26,Штутгарт , Гамбург ,1,0
26,Ганновер-96 , Боруссия Д ,0,3
26,Вольфсбург , Аугсбург ,1,1
26,Майнц , Бавария ,0,2
26,Боруссия М , Герта ,3,0
26,Нюрнберг , Айнтрахт Ф ,2,5
26,Байер , Хоффенхайм ,2,3
27,Боруссия Д , Шальке-04 ,0,0
27,Вердер , Вольфсбург ,1,3
27,Айнтрахт Б , Майнц ,3,1
27,Герта , Бавария ,1,3
27,Нюрнберг , Штутгарт ,2,0
27,Хоффенхайм , Ганновер-96 ,3,1
27,Аугсбург , Байер ,1,3
27,Гамбург , Фрайбург ,1,1
27,Айнтрахт Ф , Боруссия М ,1,0
28,Шальке-04 , Герта ,2,0
28,Бавария , Хоффенхайм ,3,3
28,Байер , Айнтрахт Б ,1,1
28,Штутгарт , Боруссия Д ,2,3
28,Вольфсбург , Айнтрахт Ф ,2,1
28,Майнц , Аугсбург ,3,0
28,Фрайбург , Нюрнберг ,3,2
28,Боруссия М , Гамбург ,3,1
28,Ганновер-96 , Вердер ,1,2
29,Гамбург , Байер ,2,1
29,Штутгарт , Фрайбург ,2,0
29,Вердер , Шальке-04 ,1,1
29,Нюрнберг , Боруссия М ,0,2
29,Аугсбург , Бавария ,1,0
29,Айнтрахт Ф , Майнц ,2,0
29,Боруссия Д , Вольфсбург ,2,1
29,Айнтрахт Б , Ганновер-96 ,3,0
29,Герта , Хоффенхайм ,1,1
30,Шальке-04 , Айнтрахт Ф ,2,0
30,Боруссия М , Штутгарт ,1,1
30,Ганновер-96 , Гамбург ,2,1
30,Вольфсбург , Нюрнберг ,4,1
30,Фрайбург , Айнтрахт Б ,2,0
30,Майнц , Вердер ,3,0
30,Бавария , Боруссия Д ,0,3
30,Байер , Герта ,2,1
30,Хоффенхайм , Аугсбург ,2,0
31,Айнтрахт Ф , Ганновер-96 ,2,3
31,Боруссия Д , Майнц ,4,2
31,Вердер , Хоффенхайм ,3,1
31,Фрайбург , Боруссия М ,4,2
31,Аугсбург , Герта ,0,0
31,Айнтрахт Б , Бавария ,0,2
31,Гамбург , Вольфсбург ,1,3
31,Нюрнберг , Байер ,1,4
31,Штутгарт , Шальке-04 ,3,1
32,Ганновер-96 , Штутгарт ,0,0
32,Бавария , Вердер ,5,2
32,Вольфсбург , Фрайбург ,2,2
32,Хоффенхайм , Айнтрахт Ф ,0,0
32,Майнц , Нюрнберг ,2,0
32,Герта , Айнтрахт Б ,2,0
32,Байер , Боруссия Д ,2,2
32,Аугсбург , Гамбург ,3,1
32,Шальке-04 , Боруссия М ,0,1
33,Боруссия Д , Хоффенхайм ,3,2
33,Боруссия М , Майнц ,3,1
33,Штутгарт , Вольфсбург ,1,2
33,Вердер , Герта ,2,0
33,Нюрнберг , Ганновер-96 ,0,2
33,Фрайбург , Шальке-04 ,0,2
33,Гамбург , Бавария ,1,4
33,Айнтрахт Б , Аугсбург ,0,1
33,Айнтрахт Ф , Байер ,0,2
34,Бавария , Штутгарт ,1,0
34,Шальке-04 , Нюрнберг ,4,1
34,Байер , Вердер ,2,1
34,Ганновер-96 , Фрайбург ,3,2
34,Вольфсбург , Боруссия М ,3,1
34,Хоффенхайм , Айнтрахт Б ,3,1
34,Майнц , Гамбург ,3,2
34,Аугсбург , Айнтрахт Ф ,2,1
34,Герта , Боруссия Д ,0,4
