21,Торпедо-Металлург,ЦСКА,2,1
21,Алания,Крылья,1,1
21,Рубин,Ротор,1,0
21,Зенит,Шинник,1,2
21,Черноморец,Сатурн,0,1
21,Ростов,Локомотив,1,1
21,Динамо,Спартак,3,2
21,Уралан,Торпедо М,2,2
22,Локомотив,Сатурн,2,1
22,Спартак,Рубин,0,2
22,ЦСКА,Крылья,3,0
22,Алания,Торпедо-Металлург,2,0
22,Ростов,Черноморец,0,2
22,Ротор,Динамо,0,1
22,Торпедо М,Шинник,1,1
22,Зенит,Уралан,5,1
23,Торпедо-Металлург,Ростов,0,3
23,Зенит,Динамо,0,0
23,Шинник,Спартак,1,2
23,ЦСКА,Сатурн,1,1
23,Алания,Черноморец,1,0
23,Локомотив,Крылья,2,1
23,Уралан,Ротор,0,1
23,Торпедо М,Рубин,4,2
24,Локомотив,ЦСКА,1,3
24,Спартак,Торпедо М,1,0
24,Рубин,Шинник,1,0
24,Ротор,Зенит,1,4
24,Черноморец,Торпедо-Металлург,1,2
24,Ростов,Крылья,2,1
24,Сатурн,Алания,2,2
24,Динамо,Уралан,2,0
25,Зенит,Спартак,2,1
25,Торпедо М,Динамо,1,1
25,ЦСКА,Черноморец,3,2
25,Алания,Ростов,1,0
25,Уралан,Рубин,1,1
25,Шинник,Ротор,2,2
25,Крылья,Сатурн,3,1
25,Торпедо-Металлург,Локомотив,1,3
26,Локомотив,Алания,2,0
26,Ростов,ЦСКА,0,1
26,Рубин,Зенит,1,2
26,Черноморец,Крылья,1,3
26,Сатурн,Торпедо-Металлург,0,3
26,Ротор,Торпедо М,2,0
26,Динамо,Шинник,1,2
26,Спартак,Уралан,1,1
27,ЦСКА,Динамо,1,1
27,Торпедо-Металлург,Ротор,1,0
27,Зенит,Черноморец,3,0
27,Шинник,Сатурн,1,0
27,Крылья,Спартак,0,2
27,Алания,Рубин,1,0
27,Торпедо М,Локомотив,1,0
27,Уралан,Ростов,3,1
28,Локомотив,Шинник,6,1
28,Ростов,Зенит,1,1
28,Рубин,Крылья,3,1
28,Динамо,Торпедо-Металлург,0,1
28,Сатурн,Уралан,2,1
28,Ротор,Алания,2,1
28,Черноморец,Торпедо М,2,4
28,Спартак,ЦСКА,0,0
29,ЦСКА,Ротор,3,0
29,Торпедо-Металлург,Рубин,1,2
29,Алания,Спартак,3,0
29,Крылья,Динамо,1,0
29,Торпедо М,Сатурн,4,3
29,Уралан,Черноморец,1,0
29,Зенит,Локомотив,0,0
29,Шинник,Ростов,4,1
30,Локомотив,Уралан,6,0
30,Черноморец,Шинник,2,1
30,Ростов,Торпедо М,0,0
30,Сатурн,Зенит,1,3
30,Спартак,Торпедо-Металлург,0,2
30,Рубин,ЦСКА,3,2
30,Ротор,Крылья,1,0
30,Динамо,Алания,0,0
