19,Динамо,Амкар,0,0,
19,Рубин,Спартак-Нальчик,0,0,
20,ЦСКА,Локомотив,1,2,
20,Ростов,Динамо,2,1,
20,Спартак,Рубин,3,0,
20,Луч-Энергия,Зенит,0,2,
20,Амкар,Шинник,1,0,
20,Крылья,Торпедо,2,0,М
20,Спартак-Нальчик,Москва,2,2,
20,Сатурн,Томь,2,1,
21,Шинник,Ростов,1,6,
21,Томь,Амкар,1,3,
21,Москва,Спартак,3,3,
21,Зенит,Спартак-Нальчик,4,0,
21,Динамо,Крылья,1,1,
21,Сатурн,ЦСКА,2,2,
21,Торпедо,Луч-Энергия,2,1,
21,Рубин,Локомотив,2,4,
22,Луч-Энергия,Динамо,3,1,
22,Спартак,Зенит,1,0,
22,Амкар,Сатурн,1,0,
22,Спартак-Нальчик,Торпедо,0,0,
22,ЦСКА,Рубин,2,1,
22,Локомотив,Москва,0,1,
22,Ростов,Томь,2,1,
22,Крылья,Шинник,2,0,
23,Динамо,Спартак-Нальчик,1,0,
23,Шинник,Луч-Энергия,1,3,
23,Амкар,ЦСКА,0,0,
23,Сатурн,Ростов,0,0,
23,Томь,Крылья,2,1,
23,Москва,Рубин,0,5,
23,Зенит,Локомотив,4,1,
23,Торпедо,Спартак,1,1,
24,Спартак-Нальчик,Шинник,2,1,
24,Луч-Энергия,Томь,2,1,
24,Ростов,Амкар,1,1,
24,Крылья,Сатурн,0,0,
24,ЦСКА,Москва,2,1,
24,Рубин,Зенит,3,0,
24,Спартак,Динамо,3,2,
24,Локомотив,Торпедо,0,0,
25,Ростов,ЦСКА,1,2,
25,Шинник,Спартак,1,1,
25,Динамо,Локомотив,2,0,
25,Зенит,Москва,1,1,
25,Томь,Спартак-Нальчик,1,0,
25,Амкар,Крылья,1,0,
25,Торпедо,Рубин,1,2,
25,Сатурн,Луч-Энергия,1,0,
26,Луч-Энергия,Амкар,3,1,
26,Торпедо,Москва,0,2,
26,Крылья,Ростов,1,0,
26,Спартак,Томь,3,1,
26,ЦСКА,Зенит,1,0,
26,Рубин,Динамо,0,1,
26,Спартак-Нальчик,Сатурн,2,0,
26,Локомотив,Шинник,1,0,
27,Ростов,Луч-Энергия,1,0,
27,Томь,Локомотив,3,1,
27,Амкар,Спартак-Нальчик,1,0,
27,Крылья,ЦСКА,2,0,
27,Шинник,Рубин,1,5,
27,Торпедо,Зенит,1,2,
27,Динамо,Москва,1,1,
27,Сатурн,Спартак,1,1,
28,Москва,Шинник,4,1,
28,Луч-Энергия,Крылья,3,2,
28,ЦСКА,Торпедо,2,0,
28,Локомотив,Сатурн,0,0,
28,Спартак-Нальчик,Ростов,3,1,
28,Зенит,Динамо,0,0,
28,Рубин,Томь,2,0,
28,Спартак,Амкар,4,1,
29,Динамо,Торпедо,2,1,
29,Шинник,Зенит,1,2,
29,Томь,Москва,1,0,
29,Сатурн,Рубин,1,2,
29,Амкар,Локомотив,1,3,
29,Ростов,Спартак,3,4,
29,Крылья,Спартак-Нальчик,1,2,
29,Луч-Энергия,ЦСКА,0,4,
30,Торпедо,Шинник,1,1,
30,ЦСКА,Динамо,1,2,
30,Локомотив,Ростов,1,0,
30,Рубин,Амкар,1,0,
30,Москва,Сатурн,2,1,
30,Зенит,Томь,0,0,
30,Крылья,Спартак,0,1,
30,Спартак-Нальчик,Луч-Энергия,0,0,
