19,Сошо , Нанси ,2,1
19,Труа , ПСЖ ,1,1
19,Лион , Монако ,0,0
19,Ницца , Ланс ,1,2
19,Тулуза , Нант ,0,4
19,Валансьен , Седан ,2,1
19,Бордо , Ле-Ман ,1,0
19,Лилль , Осер ,1,1
19,Лорьян , Ренн ,0,0
20,ПСЖ , Валансьен ,1,2
20,Ланс , Лилль ,1,1
20,Ле-Ман , Труа ,2,0
20,Нант , Ницца ,1,0
20,Седан , Нанси ,2,2
20,Тулуза , Лион ,2,0
20,Осер , Сошо ,1,0
20,Бордо , Лорьян ,1,1
20,Сент-Этьен , Монако ,0,1
20,Ренн , Марсель ,0,2
21,Марсель , Осер ,3,1
21,Лилль , ПСЖ ,1,0
21,Лорьян , Ланс ,1,0
21,Монако , Ренн ,0,2
21,Ницца , Тулуза ,0,1
21,Сошо , Седан ,1,1
21,Труа , Нант ,1,0
21,Валансьен , Ле-Ман ,1,1
21,Лион , Бордо ,1,2
21,Нанси , Сент-Этьен ,0,2
22,Ле-Ман , Марсель ,2,0
22,Бордо , Лилль ,0,1
22,Лион , Ницца ,1,1
22,Нант , Лорьян ,0,2
22,ПСЖ , Сошо ,0,0
22,Ренн , Валансьен ,1,0
22,Седан , Монако ,0,1
22,Тулуза , Труа ,1,1
22,Осер , Нанси ,2,0
22,Ланс , Сент-Этьен ,3,3
23,Лилль , Нант ,0,0
23,Валансьен , Ланс ,1,3
23,Лорьян , Ле-Ман ,2,1
23,Монако , Осер ,2,1
23,Нанси , Тулуза ,2,1
23,Ницца , Бордо ,2,1
23,Сент-Этьен , Седан ,1,2
23,Сошо , Ренн ,0,0
23,Труа , Лион ,1,0
23,Марсель , ПСЖ ,1,1
24,ПСЖ , Монако ,4,2
24,Ренн , Нанси ,1,1
24,Тулуза , Лилль ,1,0
24,Осер , Сент-Этьен ,1,1
24,Ле-Ман , Седан ,3,2
24,Лион , Лорьян ,1,0
24,Нант , Валансьен ,2,5
24,Ницца , Труа ,3,0
24,Ланс , Сошо ,3,1
24,Бордо , Марсель ,1,0
25,Лилль , Лион ,1,2
25,Сент-Этьен , Ренн ,1,3
25,Сошо , Ле-Ман ,2,0
25,Труа , Бордо ,1,0
25,Валансьен , Ницца ,0,1
25,Лорьян , Тулуза ,0,1
25,Нанси , ПСЖ ,0,3
25,Седан , Осер ,2,2
25,Монако , Ланс ,0,0
25,Марсель , Нант ,0,0
26,Тулуза , Марсель ,3,0
26,Ренн , Седан ,0,2
26,Труа , Лорьян ,3,0
26,Ле-Ман , Монако ,0,2
26,Лион , Сошо ,3,3
26,Нант , Осер ,1,1
26,Ницца , Лилль ,2,1
26,Ланс , Нанси ,2,2
26,Бордо , Валансьен ,2,1
26,ПСЖ , Сент-Этьен ,0,2
27,Сент-Этьен , Лион ,1,3
27,Нанси , Ле-Ман ,1,1
27,Седан , ПСЖ ,2,0
27,Валансьен , Тулуза ,0,0
27,Осер , Ренн ,1,0
27,Лилль , Труа ,4,0
27,Лорьян , Ницца ,0,0
27,Монако , Бордо ,0,0
27,Сошо , Нант ,1,2
27,Марсель , Ланс ,0,1
28,Тулуза , Монако ,1,1
28,Нант , Нанси ,2,1
28,Ницца , Ренн ,1,1
28,Труа , Валансьен ,1,3
28,Бордо , Сошо ,2,0
28,Ле-Ман , Сент-Этьен ,2,1
28,Лорьян , Лилль ,0,0
28,ПСЖ , Осер ,0,1
28,Ланс , Седан ,1,1
28,Лион , Марсель ,1,1
29,Сошо , Тулуза ,4,2
29,Нанси , Лион ,0,3
29,Сент-Этьен , Труа ,3,1
29,Седан , Бордо ,1,1
29,Валансьен , Лорьян ,0,0
29,Лилль , Ле-Ман ,0,2
29,Марсель , Ницца ,3,0
29,Монако , Нант ,2,1
29,Осер , Ланс ,1,0
29,Ренн , ПСЖ ,1,0
30,Лорьян , Марсель ,2,1
30,Нант , Седан ,0,1
30,Лилль , Валансьен ,0,2
30,Ницца , Монако ,1,1
30,Тулуза , Сент-Этьен ,1,0
30,Труа , Сошо ,0,1
30,Ле-Ман , Осер ,2,2
30,Ланс , ПСЖ ,1,2
30,Лион , Ренн ,0,0
30,Бордо , Нанси ,3,0
31,Валансьен , Лион ,0,0
31,Монако , Труа ,0,0
31,Нанси , Лорьян ,0,1
31,ПСЖ , Ле-Ман ,2,1
31,Ренн , Ланс ,1,0
31,Сент-Этьен , Нант ,2,1
31,Сошо , Ницца ,1,1
31,Осер , Бордо ,0,0
31,Седан , Тулуза ,0,2
31,Марсель , Лилль ,4,1
32,Бордо , ПСЖ ,0,0
32,Ле-Ман , Ренн ,0,0
32,Лилль , Сошо ,2,0
32,Лорьян , Монако ,0,0
32,Нант , Ланс ,0,0
32,Тулуза , Осер ,2,0
32,Труа , Нанси ,0,0
32,Валансьен , Марсель ,0,0
32,Ницца , Сент-Этьен ,2,1
32,Лион , Седан ,1,0
33,ПСЖ , Нант ,4,0
33,Сошо , Лорьян ,1,1
33,Ланс , Ле-Ман ,2,0
