18,Лилль , Бастия ,2,1
18,Лион , Марсель ,2,2
19,Монако , Валансьен ,1,2
19,Сент-Этьен , Нант ,2,0
19,Бастия , Монпелье ,0,0
19,Ницца , Эвиан ,3,1
19,Реймс , Аяччо ,4,1
19,Сошо , Ренн ,2,1
19,Тулуза , Генгам ,0,0
19,Марсель , Бордо ,2,2
19,Лорьян , Лион ,2,2
19,ПСЖ , Лилль ,2,2
20,Монпелье , Монако ,1,1
20,Аяччо , ПСЖ ,1,2
20,Бордо , Тулуза ,0,1
20,Генгам , Сент-Этьен ,0,0
20,Лион , Сошо ,2,0
20,Ренн , Ницца ,0,0
20,Валансьен , Бастия ,3,2
20,Нант , Лорьян ,1,0
20,Эвиан , Марсель ,1,2
20,Лилль , Реймс ,1,2
21,Сент-Этьен , Лилль ,2,0
21,Бастия , Бордо ,1,0
21,Лорьян , Генгам ,2,0
21,Ницца , Аяччо ,2,0
21,Ренн , Эвиан ,0,0
21,Сошо , Монпелье ,0,2
21,Реймс , Лион ,0,2
21,Тулуза , Монако ,0,2
21,ПСЖ , Нант ,5,0
21,Марсель , Валансьен ,2,1
22,Лилль , Ренн ,1,1
22,Генгам , ПСЖ ,1,1
22,Аяччо , Сошо ,1,1
22,Монпелье , Ницца ,3,1
22,Нант , Реймс ,0,0
22,Валансьен , Лорьян ,1,1
22,Лион , Эвиан ,3,0
22,Бордо , Сент-Этьен ,2,0
22,Монако , Марсель ,2,0
22,Тулуза , Бастия ,1,3
23,ПСЖ , Бордо ,2,0
23,Лорьян , Монако ,2,2
23,Бастия , Генгам ,3,2
23,Эвиан , Аяччо ,1,1
23,Реймс , Монпелье ,2,4
23,Сент-Этьен , Валансьен ,3,0
23,Сошо , Нант ,1,0
23,Ницца , Лилль ,1,0
23,Ренн , Лион ,2,0
23,Марсель , Тулуза ,2,2
24,Тулуза , Сент-Этьен ,0,0
24,Марсель , Бастия ,3,0
24,Аяччо , Ренн ,3,1
24,Генгам , Реймс ,1,2
24,Лилль , Сошо ,2,0
24,Монпелье , Эвиан ,1,1
24,Валансьен , Ницца ,2,1
24,Нант , Лион ,1,2
24,Монако , ПСЖ ,1,1
24,Бордо , Лорьян ,3,2
25,ПСЖ , Валансьен ,3,0
25,Бастия , Монако ,0,2
25,Лорьян , Тулуза ,1,3
25,Ницца , Нант ,0,0
25,Реймс , Бордо ,1,0
25,Ренн , Монпелье ,2,2
25,Сошо , Генгам ,1,0
25,Лион , Аяччо ,3,1
25,Эвиан , Лилль ,2,2
25,Сент-Этьен , Марсель ,1,1
26,Монако , Реймс ,3,2
26,Марсель , Лорьян ,1,0
26,Бастия , Сент-Этьен ,0,2
26,Бордо , Эвиан ,2,1
26,Генгам , Ницца ,1,0
26,Монпелье , Аяччо ,2,0
26,Валансьен , Сошо ,2,2
26,Тулуза , ПСЖ ,2,4
26,Нант , Ренн ,0,3
26,Лилль , Лион ,0,0
27,Эвиан , Нант ,2,0
27,Сент-Этьен , Монако ,2,0
27,Лорьян , Бастия ,1,1
27,Ницца , Тулуза ,0,2
27,Реймс , Валансьен ,3,1
27,Ренн , Генгам ,0,2
27,Сошо , Бордо ,2,0
27,Аяччо , Лилль ,2,3
27,Лион , Монпелье ,0,0
27,ПСЖ , Марсель ,2,0
28,Марсель , Ницца ,0,1
28,Бастия , ПСЖ ,0,3
28,Генгам , Эвиан ,0,1
28,Монако , Сошо ,2,1
28,Нант , Аяччо ,2,2
28,Тулуза , Реймс ,3,2
28,Валансьен , Ренн ,2,1
28,Лилль , Монпелье ,2,0
28,Лорьян , Сент-Этьен ,1,0
28,Бордо , Лион ,1,2
29,Реймс , Марсель ,1,1
29,Лилль , Нант ,0,0
29,Аяччо , Генгам ,1,2
29,Эвиан , Валансьен ,0,1
29,Ницца , Бастия ,2,0
29,Ренн , Тулуза ,2,3
29,Сошо , Лорьян ,2,0
29,Монпелье , Бордо ,1,1
29,Лион , Монако ,2,3
29,ПСЖ , Сент-Этьен ,2,0
30,Лорьян , ПСЖ ,0,1
30,Марсель , Ренн ,0,1
30,Бастия , Реймс ,2,0
30,Бордо , Ницца ,1,1
30,Нант , Монпелье ,2,1
30,Тулуза , Эвиан ,1,1
30,Валансьен , Аяччо ,2,3
30,Сент-Этьен , Сошо ,3,1
30,Генгам , Лион ,0,1
30,Монако , Лилль ,1,1
31,Ницца , ПСЖ ,0,1
31,Сошо , Марсель ,1,1
31,Аяччо , Тулуза ,2,2
31,Эвиан , Монако ,1,0
31,Монпелье , Валансьен ,0,0
31,Нант , Бордо ,0,0
31,Реймс , Лорьян ,1,1
31,Ренн , Бастия ,3,0
31,Лилль , Генгам ,1,0
31,Лион , Сент-Этьен ,1,2
32,Марсель , Аяччо ,3,1
32,ПСЖ , Реймс ,3,0
32,Бастия , Сошо ,2,2
32,Бордо , Ренн ,2,2
32,Генгам , Монпелье ,1,2
32,Лорьян , Эвиан ,1,1
32,Тулуза , Лилль ,1,2
32,Сент-Этьен , Ницца ,1,1
32,Валансьен , Лион ,1,2
32,Монако , Нант ,3,1
33,Монпелье , Марсель ,2,3
33,Лилль , Валансьен ,1,0
33,Аяччо , Бордо ,1,1
33,Эвиан , Бастия ,2,1
33,Ницца , Лорьян ,1,2
33,Ренн , Монако ,0,1
33,Сошо , Тулуза ,2,0
33,Нант , Генгам ,1,0
33,Реймс , Сент-Этьен ,2,2
33,Лион , ПСЖ ,1,0
34,Сент-Этьен , Ренн ,0,0
34,Монако , Ницца ,1,0
34,Бастия , Аяччо ,2,1
34,Бордо , Генгам ,5,1
34,Лорьян , Монпелье ,4,4
34,Реймс , Сошо ,0,1
34,Валансьен , Нант ,2,6
34,Марсель , Лилль ,0,0
34,ПСЖ , Эвиан ,1,0
34,Тулуза , Лион ,0,0
35,Нант , Марсель ,1,1
35,Аяччо , Монако ,1,4
35,Эвиан , Сент-Этьен ,1,2
35,Генгам , Валансьен ,1,0
35,Монпелье , Тулуза ,2,1
35,Ницца , Реймс ,1,0
35,Ренн , Лорьян ,1,1
35,Сошо , ПСЖ ,1,1
35,Лион , Бастия ,4,1
35,Лилль , Бордо ,2,1
36,Бастия , Лилль ,1,1
36,Сент-Этьен , Монпелье ,2,0
36,Лорьян , Аяччо ,1,0
36,Реймс , Эвиан ,1,0
36,Сошо , Ницца ,2,0
36,Тулуза , Нант ,1,1
36,Валансьен , Бордо ,0,1
36,Марсель , Лион ,4,2
36,Монако , Генгам ,1,1
36,ПСЖ , Ренн ,1,2
37,Аяччо , Реймс ,2,1
37,Бордо , Марсель ,1,1
37,Эвиан , Ницца ,2,0
37,Генгам , Тулуза ,2,0
37,Лилль , ПСЖ ,1,3
37,Лион , Лорьян ,0,1
37,Монпелье , Бастия ,0,2
37,Нант , Сент-Этьен ,1,3
37,Ренн , Сошо ,1,2
37,Валансьен , Монако ,1,2
38,Бастия , Нант ,0,0
38,Лорьян , Лилль ,1,4
38,Марсель , Генгам ,1,0
38,Монако , Бордо ,1,1
38,Ницца , Лион ,0,1
38,ПСЖ , Монпелье ,4,0
38,Реймс , Ренн ,1,3
38,Сент-Этьен , Аяччо ,3,1
38,Сошо , Эвиан ,0,3
38,Тулуза , Валансьен ,3,1
