19,Кан , Бастия ,1,1
19,Лорьян , Нант ,1,2
19,Метц , Монако ,0,1
19,Ренн , Реймс ,1,3
19,Тулуза , Генгам ,1,1
19,Марсель , Лилль ,2,1
19,Сент-Этьен , Эвиан ,3,0
19,Бордо , Лион ,0,5
20,Монпелье , Марсель ,2,1
20,Бастия , ПСЖ ,4,2
20,Эвиан , Ренн ,1,1
20,Генгам , Ланс ,2,0
20,Лилль , Кан ,1,0
20,Ницца , Лорьян ,3,1
20,Реймс , Сент-Этьен ,1,2
20,Лион , Тулуза ,3,0
20,Нант , Метц ,0,0
20,Монако , Бордо ,0,0
21,Бордо , Ницца ,1,2
21,Ланс , Лион ,0,2
21,Кан , Реймс ,4,1
21,Лорьян , Лилль ,1,0
21,Метц , Монпелье ,2,3
21,Монако , Нант ,1,0
21,Тулуза , Бастия ,1,1
21,ПСЖ , Эвиан ,4,2
21,Ренн , Сент-Этьен ,0,0
21,Марсель , Генгам ,2,1
22,Ницца , Марсель ,2,1
22,Лилль , Монако ,0,1
22,Бастия , Бордо ,0,0
22,Генгам , Лорьян ,3,2
22,Монпелье , Нант ,4,0
22,Эвиан , Тулуза ,1,0
22,Лион , Метц ,2,0
22,Реймс , Ланс ,0,0
22,Ренн , Кан ,1,4
22,Сент-Этьен , ПСЖ ,0,1
23,ПСЖ , Ренн ,1,0
23,Марсель , Эвиан ,1,0
23,Ланс , Бастия ,1,1
23,Лорьян , Монпелье ,0,0
23,Метц , Ницца ,0,0
23,Нант , Лилль ,1,1
23,Тулуза , Реймс ,1,0
23,Кан , Сент-Этьен ,1,0
23,Бордо , Генгам ,1,1
23,Монако , Лион ,0,0
24,Сент-Этьен , Ланс ,3,3
24,Ренн , Марсель ,1,1
24,Бастия , Метц ,2,0
24,Кан , Тулуза ,2,0
24,Эвиан , Бордо ,0,1
24,Монпелье , Лилль ,1,2
24,Реймс , Лорьян ,1,3
24,Генгам , Монако ,1,0
24,Ницца , Нант ,0,0
24,Лион , ПСЖ ,1,1
25,Марсель , Реймс ,2,2
25,ПСЖ , Кан ,2,2
25,Ланс , Эвиан ,0,2
25,Лилль , Ницца ,0,0
25,Нант , Бастия ,0,2
25,Тулуза , Ренн ,2,1
25,Бордо , Сент-Этьен ,1,0
25,Метц , Генгам ,0,2
25,Лорьян , Лион ,1,1
25,Монако , Монпелье ,0,0
26,Ницца , Монако ,0,1
26,ПСЖ , Тулуза ,3,1
26,Бастия , Лилль ,2,1
26,Кан , Ланс ,4,1
26,Ренн , Бордо ,1,1
26,Генгам , Монпелье ,0,2
26,Лион , Нант ,1,0
26,Реймс , Метц ,0,0
26,Сент-Этьен , Марсель ,2,2
26,Эвиан , Лорьян ,1,0
27,Марсель , Кан ,2,3
27,Лилль , Лион ,2,1
27,Бордо , Реймс ,1,1
27,Ланс , Ренн ,0,1
27,Лорьян , Бастия ,2,0
27,Метц , Эвиан ,1,2
27,Тулуза , Сент-Этьен ,1,1
27,Нант , Генгам ,1,0
27,Монпелье , Ницца ,2,1
27,Монако , ПСЖ ,0,0
28,Тулуза , Марсель ,1,6
28,ПСЖ , Ланс ,4,1
28,Бастия , Ницца ,2,1
28,Кан , Бордо ,1,2
28,Эвиан , Монако ,1,3
28,Реймс , Нант ,3,1
28,Ренн , Метц ,1,0
28,Сент-Этьен , Лорьян ,2,0
28,Генгам , Лилль ,0,1
28,Монпелье , Лион ,1,5
29,Монако , Бастия ,3,0
29,Ницца , Генгам ,1,2
29,Метц , Сент-Этьен ,2,3
29,Ланс , Тулуза ,1,0
29,Лорьян , Кан ,2,1
29,Монпелье , Реймс ,3,1
29,Нант , Эвиан ,2,1
29,Лилль , Ренн ,3,0
29,Бордо , ПСЖ ,3,2
29,Марсель , Лион ,0,0
30,ПСЖ , Лорьян ,3,1
30,Лион , Ницца ,1,2
30,Бастия , Генгам ,0,0
30,Кан , Метц ,0,0
30,Эвиан , Монпелье ,1,0
30,Ренн , Нант ,0,0
30,Тулуза , Бордо ,2,1
30,Сент-Этьен , Лилль ,2,0
30,Реймс , Монако ,1,3
30,Ланс , Марсель ,0,4
31,Монако , Сент-Этьен ,1,1
31,Генгам , Лион ,1,3
31,Лилль , Реймс ,3,1
31,Лорьян , Ренн ,0,3
31,Метц , Тулуза ,3,2
31,Монпелье , Бастия ,3,1
31,Ницца , Эвиан ,2,2
31,Бордо , Ланс ,2,1
31,Нант , Кан ,1,2
31,Марсель , ПСЖ ,2,3
32,Кан , Монако ,0,3
32,Сент-Этьен , Нант ,1,0
32,Эвиан , Лилль ,0,1
32,Ланс , Лорьян ,0,0
32,Реймс , Ницца ,0,1
32,Ренн , Генгам ,1,0
32,Тулуза , Монпелье ,1,0
32,Бордо , Марсель ,1,0
32,Лион , Бастия ,2,0
32,ПСЖ , Метц ,3,1
33,Нант , Марсель ,1,0
33,Ницца , ПСЖ ,1,3
33,Бастия , Реймс ,1,2
33,Генгам , Эвиан ,1,1
33,Лорьян , Тулуза ,0,1
33,Метц , Ланс ,3,1
33,Монако , Ренн ,1,1
33,Лилль , Бордо ,2,0
33,Монпелье , Кан ,1,0
33,Лион , Сент-Этьен ,2,2
34,Марсель , Лорьян ,3,5
34,ПСЖ , Лилль ,6,1
34,Бордо , Метц ,1,1
34,Кан , Генгам ,0,2
34,Эвиан , Бастия ,1,2
34,Ренн , Ницца ,2,1
34,Тулуза , Нант ,1,1
34,Сент-Этьен , Монпелье ,1,0
34,Ланс , Монако ,0,3
34,Реймс , Лион ,2,4
35,Метц , Марсель ,0,2
35,Лион , Эвиан ,2,0
35,Бастия , Сент-Этьен ,1,0
35,Генгам , Реймс ,2,0
35,Лорьян , Бордо ,0,0
35,Монпелье , Ренн ,0,0
35,Ницца , Кан ,1,1
35,Лилль , Ланс ,3,1
35,Монако , Тулуза ,4,1
35,Нант , ПСЖ ,0,2
36,ПСЖ , Генгам ,6,0
36,Кан , Лион ,3,0
36,Бордо , Нант ,2,1
36,Эвиан , Реймс ,2,3
36,Метц , Лорьян ,0,4
36,Ренн , Бастия ,0,1
36,Тулуза , Лилль ,3,2
36,Ланс , Монпелье ,0,1
36,Сент-Этьен , Ницца ,5,0
36,Марсель , Монако ,2,1
37,Бастия , Кан ,1,1
37,Эвиан , Сент-Этьен ,1,2
37,Генгам , Тулуза ,2,1
37,Лилль , Марсель ,0,4
37,Лион , Бордо ,1,1
37,Монако , Метц ,2,0
37,Монпелье , ПСЖ ,1,2
37,Нант , Лорьян ,1,1
37,Ницца , Ланс ,2,1
37,Реймс , Ренн ,1,0
38,Бордо , Монпелье ,2,1
38,Кан , Эвиан ,3,2
38,Ланс , Нант ,1,0
38,Лорьян , Монако ,0,1
38,Марсель , Бастия ,3,0
38,Метц , Лилль ,1,4
38,ПСЖ , Реймс ,3,2
38,Ренн , Лион ,0,1
38,Сент-Этьен , Генгам ,2,1
38,Тулуза , Ницца ,2,3
