18,Марсель , Лион ,1,1
18,Лилль , Нанси ,3,0
18,Ланс , Кан ,2,0
19,Лорьян , Монпелье ,0,0
19,Арль-Авиньон , Ницца ,0,0
19,Брест , Марсель ,0,0
19,Кан , Ренн ,1,0
19,Лилль , Сент-Этьен ,1,1
19,Лион , Осер ,1,1
19,Монако , Сошо ,2,1
19,Нанси , ПСЖ ,2,0
19,Валансьен , Тулуза ,2,1
19,Бордо , Ланс ,2,2
20,Осер , Монако ,1,1
20,Брест , Кан ,1,3
20,Ланс , Сент-Этьен ,2,1
20,Лион , Лорьян ,3,0
20,Монпелье , Валансьен ,2,1
20,Ницца , Лилль ,0,2
20,ПСЖ , Сошо ,2,1
20,Ренн , Арль-Авиньон ,4,0
20,Тулуза , Нанси ,1,0
20,Марсель , Бордо ,2,1
21,Арль-Авиньон , ПСЖ ,1,2
21,Кан , Осер ,2,0
21,Лорьян , Брест ,2,0
21,Сент-Этьен , Тулуза ,2,1
21,Сошо , Ренн ,5,1
21,Валансьен , Лион ,2,1
21,Лилль , Ланс ,1,0
21,Бордо , Ницца ,2,0
21,Нанси , Монпелье ,1,2
21,Монако , Марсель ,0,0
22,Брест , Нанси ,2,1
22,Кан , Лорьян ,0,2
22,Ланс , Валансьен ,1,1
22,Марсель , Арль-Авиньон ,1,0
22,Монпелье , Сент-Этьен ,1,2
22,Ницца , Сошо ,1,0
22,Ренн , ПСЖ ,1,0
22,Осер , Лилль ,1,1
22,Тулуза , Монако ,2,0
22,Лион , Бордо ,0,0
23,Арль-Авиньон , Монпелье ,0,0
23,Бордо , Кан ,1,2
23,Монако , Лорьян ,3,1
23,Нанси , Осер ,3,1
23,ПСЖ , Ланс ,0,0
23,Сошо , Марсель ,1,2
23,Сент-Этьен , Лион ,1,4
23,Ренн , Ницца ,2,0
23,Валансьен , Брест ,3,0
23,Лилль , Тулуза ,2,0
24,Лион , Нанси ,4,0
24,Осер , Арль-Авиньон ,1,1
24,Брест , Монако ,2,0
24,Кан , Валансьен ,2,2
24,Ланс , Сошо ,2,3
24,Марсель , Сент-Этьен ,2,1
24,Лорьян , Бордо ,5,1
24,Монпелье , Лилль ,1,0
24,Ницца , ПСЖ ,0,3
24,Тулуза , Ренн ,1,2
25,Арль-Авиньон , Брест ,1,1
25,Монако , Кан ,2,2
25,Ренн , Ланс ,2,0
25,Сент-Этьен , Ницца ,0,2
25,Сошо , Монпелье ,0,0
25,Валансьен , Лорьян ,0,0
25,Бордо , Осер ,3,0
25,Нанси , Марсель ,1,2
25,ПСЖ , Тулуза ,2,1
25,Лилль , Лион ,1,1
26,Кан , Сент-Этьен ,1,0
26,Лорьян , Нанси ,0,0
26,Монпелье , Ренн ,0,1
26,Ницца , Ланс ,0,0
26,Тулуза , Сошо ,0,1
26,Валансьен , Монако ,0,0
26,Осер , ПСЖ ,1,0
26,Брест , Бордо ,1,3
26,Лион , Арль-Авиньон ,5,0
26,Марсель , Лилль ,1,2
27,Ренн , Марсель ,0,2
27,Арль-Авиньон , Лорьян ,3,3
27,Ланс , Тулуза ,0,1
27,Нанси , Кан ,2,0
27,Ницца , Осер ,1,0
27,Сент-Этьен , Брест ,2,0
27,Сошо , Лион ,0,2
27,Бордо , Монако ,0,1
27,Лилль , Валансьен ,2,1
27,ПСЖ , Монпелье ,2,2
28,Осер , Сошо ,2,0
28,Брест , Лилль ,1,2
28,Лорьян , Сент-Этьен ,0,0
28,Монпелье , Ланс ,1,4
28,Тулуза , Ницца ,1,1
28,Валансьен , Бордо ,2,2
28,Лион , Ренн ,1,1
28,Кан , Арль-Авиньон ,2,0
28,Монако , Нанси ,0,1
28,Марсель , ПСЖ ,2,1
29,Арль-Авиньон , Монако ,0,2
29,Лилль , Кан ,3,1
29,Нанси , Бордо ,0,0
29,ПСЖ , Лорьян ,0,0
29,Ренн , Осер ,0,0
29,Сошо , Брест ,2,1
29,Тулуза , Монпелье ,0,1
29,Ницца , Лион ,2,2
29,Сент-Этьен , Валансьен ,1,1
29,Ланс , Марсель ,0,1
30,Осер , Сент-Этьен ,2,2
30,Бордо , Арль-Авиньон ,0,0
30,Кан , ПСЖ ,1,2
30,Лорьян , Сошо ,1,1
30,Монако , Лилль ,1,0
30,Валансьен , Нанси ,1,1
30,Брест , Ренн ,2,0
30,Марсель , Тулуза ,2,2
30,Монпелье , Ницца ,1,1
30,Лион , Ланс ,3,0
31,Ланс , Брест ,1,1
31,Ницца , Монако ,3,2
31,Ренн , Лорьян ,1,2
31,Сент-Этьен , Нанси ,2,1
31,Сошо , Кан ,3,2
31,Тулуза , Осер ,0,1
31,Лилль , Бордо ,1,1
31,Арль-Авиньон , Валансьен ,0,1
31,Монпелье , Марсель ,1,2
31,ПСЖ , Лион ,1,0
32,Осер , Ланс ,1,1
32,Бордо , Сент-Этьен ,2,0
32,Брест , ПСЖ ,2,2
32,Кан , Тулуза ,1,1
32,Монако , Ренн ,1,0
32,Нанси , Арль-Авиньон ,0,0
32,Валансьен , Сошо ,1,1
32,Лорьян , Лилль ,1,1
32,Лион , Монпелье ,3,2
32,Марсель , Ницца ,4,2
33,Ланс , Лорьян ,2,3
33,Лилль , Арль-Авиньон ,5,0
33,Ренн , Бордо ,0,0
33,Сошо , Нанси ,1,0
