18,Сент-Этьен , Лорьян ,0,2
18,ПСЖ , Лион ,1,0
19,Брест , ПСЖ ,0,3
19,Лилль , Монпелье ,4,1
19,Аяччо , Ренн ,2,4
19,Лорьян , Реймс ,2,2
19,Бордо , Труа ,0,0
19,Лион , Ницца ,3,0
19,Бастия , Нанси ,4,2
19,Валансьен , Эвиан ,2,1
19,Тулуза , Сошо ,2,0
19,Марсель , Сент-Этьен ,1,0
20,Сент-Этьен , Тулуза ,2,2
20,ПСЖ , Аяччо ,0,0
20,Труа , Лион ,1,2
20,Нанси , Лилль ,2,2
20,Эвиан , Брест ,0,2
20,Монпелье , Лорьян ,2,0
20,Ренн , Бордо ,0,2
20,Реймс , Бастия ,1,2
20,Ницца , Валансьен ,5,0
20,Сошо , Марсель ,3,1
21,Лион , Эвиан ,0,0
21,Сошо , Реймс ,1,0
21,Марсель , Монпелье ,3,2
21,Аяччо , Валансьен ,1,1
21,Лорьян , Труа ,3,2
21,Брест , Сент-Этьен ,0,1
21,Тулуза , Нанси ,2,1
21,Бастия , Ренн ,0,2
21,Лилль , Ницца ,0,2
21,Бордо , ПСЖ ,0,1
22,Валансьен , Лион ,0,2
22,Ренн , Марсель ,2,2
22,Нанси , Лорьян ,2,1
22,Труа , Брест ,2,1
22,Эвиан , Аяччо ,1,1
22,Монпелье , Сошо ,2,0
22,Реймс , Тулуза ,1,1
22,Сент-Этьен , Бастия ,3,0
22,Ницца , Бордо ,0,1
22,ПСЖ , Лилль ,1,0
23,Тулуза , ПСЖ ,0,4
23,Лорьян , Ренн ,2,2
23,Сошо , Сент-Этьен ,1,2
23,Бордо , Валансьен ,2,0
23,Лилль , Труа ,1,1
23,Бастия , Эвиан ,0,0
23,Брест , Ницца ,0,2
23,Аяччо , Лион ,3,1
23,Монпелье , Реймс ,3,1
23,Марсель , Нанси ,0,1
24,ПСЖ , Бастия ,3,1
24,Сент-Этьен , Монпелье ,4,1
24,Аяччо , Бордо ,1,0
24,Нанси , Реймс ,1,2
24,Труа , Сошо ,0,0
24,Ницца , Лорьян ,1,1
24,Валансьен , Брест ,2,1
24,Эвиан , Марсель ,1,1
24,Ренн , Тулуза ,2,0
24,Лион , Лилль ,1,3
25,Лилль , Ренн ,2,0
25,Марсель , Валансьен ,1,0
25,Лорьян , Эвиан ,2,1
25,Монпелье , Нанси ,1,0
25,Бастия , Ницца ,0,1
25,Брест , Аяччо ,1,1
25,Тулуза , Труа ,2,2
25,Бордо , Лион ,0,4
25,Реймс , Сент-Этьен ,1,1
25,Сошо , ПСЖ ,3,2
26,Ницца , Реймс ,2,0
26,Ренн , Сошо ,2,2
26,Аяччо , Лилль ,1,3
26,Нанси , Сент-Этьен ,0,3
26,Труа , Бастия ,0,0
26,Эвиан , Монпелье ,0,1
26,Валансьен , Тулуза ,0,0
26,Лион , Лорьян ,3,1
26,Бордо , Брест ,0,2
26,ПСЖ , Марсель ,2,0
27,Монпелье , Ренн ,2,0
27,Реймс , ПСЖ ,1,0
27,Сент-Этьен , Ницца ,4,0
27,Лорьян , Валансьен ,1,1
27,Сошо , Нанси ,1,2
27,Бастия , Аяччо ,1,0
27,Тулуза , Эвиан ,0,0
27,Брест , Лион ,1,1
27,Марсель , Труа ,2,1
27,Лилль , Бордо ,2,1
28,Ренн , Сент-Этьен ,2,2
28,ПСЖ , Нанси ,2,1
28,Аяччо , Лорьян ,1,0
28,Труа , Реймс ,4,2
28,Эвиан , Сошо ,5,1
28,Брест , Тулуза ,0,1
28,Валансьен , Лилль ,1,3
28,Ницца , Монпелье ,2,0
28,Бордо , Бастия ,1,0
28,Лион , Марсель ,0,0
29,Марсель , Аяччо ,0,0
29,Бастия , Лион ,4,1
29,Лорьян , Брест ,4,0
29,Сошо , Валансьен ,1,1
29,Лилль , Эвиан ,1,2
29,Монпелье , Труа ,1,1
29,Реймс , Ренн ,1,0
29,Нанси , Ницца ,1,0
29,Тулуза , Бордо ,0,0
29,Сент-Этьен , ПСЖ ,2,2
30,ПСЖ , Монпелье ,1,0
30,Труа , Сент-Этьен ,2,2
30,Аяччо , Тулуза ,2,3
30,Эвиан , Реймс ,2,2
30,Бордо , Лорьян ,1,1
30,Ренн , Нанси ,0,2
30,Валансьен , Бастия ,3,4
30,Ницца , Марсель ,0,1
30,Брест , Лилль ,1,2
30,Лион , Сошо ,1,2
31,Марсель , Бордо ,1,0
31,Ренн , ПСЖ ,0,2
31,Нанси , Труа ,1,0
31,Сошо , Аяччо ,0,0
31,Монпелье , Валансьен ,3,1
31,Бастия , Брест ,4,0
31,Тулуза , Ницца ,3,4
31,Сент-Этьен , Эвиан ,1,0
31,Реймс , Лион ,1,0
31,Лилль , Лорьян ,5,0
32,Валансьен , Сент-Этьен ,0,0
32,Труа , ПСЖ ,0,1
32,Аяччо , Нанси ,1,1
32,Эвиан , Ренн ,4,2
32,Лорьян , Бастия ,4,1
32,Бордо , Монпелье ,4,2
32,Брест , Реймс ,0,2
32,Ницца , Сошо ,3,0
32,Лион , Тулуза ,3,1
32,Лилль , Марсель ,0,0
33,Монпелье , Лион ,1,2
33,Марсель , Брест ,1,0
33,Бастия , Лилль ,1,2
33,Нанси , Эвиан ,3,1
33,Сошо , Бордо ,2,2
33,Реймс , Валансьен ,0,1
33,Тулуза , Лорьян ,0,1
33,ПСЖ , Ницца ,3,0
33,Сент-Этьен , Аяччо ,4,2
33,Ренн , Труа ,1,2
34,Лилль , Сошо ,3,3
34,Лорьян , Марсель ,0,1
34,Аяччо , Монпелье ,2,1
34,Бордо , Реймс ,0,0
34,Бастия , Тулуза ,0,0
34,Брест , Ренн ,0,2
34,Валансьен , Нанси ,0,0
34,Лион , Сент-Этьен ,1,1
34,Ницца , Труа ,3,1
34,Эвиан , ПСЖ ,0,1
35,Сент-Этьен , Бордо ,0,0
35,Марсель , Бастия ,2,1
35,Труа , Эвиан ,1,0
35,Сошо , Лорьян ,1,0
35,Монпелье , Брест ,2,1
35,Реймс , Аяччо ,1,1
35,Тулуза , Лилль ,4,2
35,Ренн , Ницца ,0,3
35,Нанси , Лион ,0,3
35,ПСЖ , Валансьен ,1,1
36,Лилль , Реймс ,3,0
36,Марсель , Тулуза ,2,1
36,Аяччо , Труа ,0,1
36,Бордо , Нанси ,3,2
36,Бастия , Монпелье ,3,1
36,Брест , Сошо ,0,2
36,Валансьен , Ренн ,4,1
36,Лорьян , Сент-Этьен ,3,1
36,Эвиан , Ницца ,4,0
36,Лион , ПСЖ ,0,1
37,Нанси , Бастия ,1,2
37,Сент-Этьен , Марсель ,2,0
37,Труа , Бордо ,1,0
37,Эвиан , Валансьен ,2,0
37,Сошо , Тулуза ,1,2
37,Монпелье , Лилль ,0,0
37,ПСЖ , Брест ,3,1
37,Реймс , Лорьян ,1,0
37,Ренн , Аяччо ,1,1
37,Ницца , Лион ,1,1
38,Аяччо , Ницца ,0,2
38,Лорьян , ПСЖ ,1,3
38,Бордо , Эвиан ,2,1
38,Лилль , Сент-Этьен ,1,1
38,Марсель , Реймс ,0,0
38,Лион , Ренн ,2,0
38,Бастия , Сошо ,0,0
38,Брест , Нанси ,1,2
38,Тулуза , Монпелье ,2,0
38,Валансьен , Труа ,2,1
