18,Бордо , Марсель ,2,2
19,Нанси , Лион ,1,1
19,Осер , Монако ,1,0
19,Кан , Страсбург ,2,0
19,Лорьян , Метц ,2,0
19,Марсель , Ле-Ман ,1,0
19,Ницца , Валансьен ,1,0
19,Сошо , Бордо ,0,1
19,Тулуза , Ренн ,0,0
19,Сент-Этьен , ПСЖ ,0,1
19,Ланс , Лилль ,1,2
20,Валансьен , Сент-Этьен ,2,0
20,Бордо , Осер ,4,1
20,Кан , Нанси ,0,0
20,Ле-Ман , Сошо ,0,2
20,Лилль , Метц ,1,1
20,Лион , Тулуза ,3,2
20,Монако , Лорьян ,1,0
20,Страсбург , Ницца ,0,1
20,ПСЖ , Ланс ,3,0
20,Ренн , Марсель ,3,1
21,Лорьян , ПСЖ ,1,0
21,Осер , Страсбург ,1,1
21,Ле-Ман , Бордо ,1,2
21,Марсель , Валансьен ,3,1
21,Метц , Монако ,1,4
21,Сент-Этьен , Ренн ,2,0
21,Сошо , Лилль ,1,1
21,Тулуза , Кан ,1,1
21,Ницца , Нанси ,1,0
21,Ланс , Лион ,3,0
22,Валансьен , Ланс ,1,2
22,Кан , Осер ,0,0
22,Лилль , Ле-Ман ,3,1
22,Лион , Лорьян ,2,0
22,Монако , Сошо ,1,0
22,ПСЖ , Метц ,3,0
22,Ренн , Ницца ,1,1
22,Страсбург , Тулуза ,2,0
22,Нанси , Марсель ,1,1
22,Бордо , Сент-Этьен ,1,0
23,Лилль , ПСЖ ,0,0
23,Осер , Нанси ,0,0
23,Ле-Ман , Монако ,1,0
23,Ланс , Страсбург ,2,2
23,Марсель , Кан ,6,1
23,Метц , Ренн ,1,1
23,Сошо , Валансьен ,1,0
23,Тулуза , Ницца ,1,1
23,Лорьян , Бордо ,1,0
23,Сент-Этьен , Лион ,1,1
24,ПСЖ , Ле-Ман ,0,0
24,Бордо , Метц ,3,0
24,Лион , Сошо ,4,1
24,Монако , Лилль ,0,0
24,Нанси , Тулуза ,1,0
24,Ренн , Осер ,1,2
24,Страсбург , Сент-Этьен ,3,0
24,Валансьен , Лорьян ,3,0
24,Кан , Ланс ,1,4
24,Ницца , Марсель ,0,2
25,Ле-Ман , Лион ,1,0
25,Осер , Тулуза ,1,0
25,Ланс , Ницца ,0,0
25,Лилль , Ренн ,3,1
25,Лорьян , Страсбург ,1,0
25,Метц , Валансьен ,2,1
25,Сент-Этьен , Нанси ,4,0
25,Сошо , Кан ,1,1
25,Монако , Бордо ,0,6
25,Марсель , ПСЖ ,2,1
26,Кан , Сент-Этьен ,1,3
26,Лион , Метц ,2,0
26,Нанси , Ланс ,2,1
26,Ницца , Осер ,1,2
26,ПСЖ , Монако ,1,1
26,Ренн , Лорьян ,2,0
26,Страсбург , Сошо ,0,2
26,Валансьен , Ле-Ман ,1,2
26,Тулуза , Марсель ,0,0
26,Бордо , Лилль ,0,0
27,Лилль , Лион ,0,1
27,Ле-Ман , Страсбург ,0,1
27,Ланс , Тулуза ,1,1
27,Лорьян , Нанси ,0,0
27,Марсель , Осер ,2,1
27,Метц , Кан ,2,1
27,Монако , Валансьен ,0,0
27,Сошо , Ренн ,0,0
