"10.09.2015, 16:30 ",Авангард , Лада ,6,1,
"10.09.2015, 16:30 ",Барыс , Ак Барс ,3,1,
"10.09.2015, 16:30 ",Сибирь , Динамо Р ,4,1,
"10.09.2015, 17:00 ",Автомобилист , ХК Сочи ,1,4,
"10.09.2015, 17:00 ",Югра , Локомотив ,2,1,
"10.09.2015, 19:30 ",Витязь , Медвешчак ,4,3,  Б 
"10.09.2015, 19:30 ",Динамо Мн , Нефтехимик ,2,3,  Б 
"10.09.2015, 19:30 ",Динамо М , Слован ,1,2,
"10.09.2015, 19:30 ",Торпедо , Трактор ,3,0,
"11.09.2015, 19:30 ",Северсталь , Салават Юлаев ,1,2,
"11.09.2015, 19:30 ",ЦСКА , Металлург Мг ,1,3,
"12.09.2015, 10:00 ",Амур , Динамо Р ,3,2,
"12.09.2015, 10:00 ",Адмирал , Йокерит ,1,6,
"12.09.2015, 14:30 ",Авангард , Локомотив ,3,0,
"12.09.2015, 14:30 ",Барыс , ХК Сочи ,3,2,  ОТ 
"12.09.2015, 17:00 ",Витязь , Слован ,2,5,
"13.09.2015, 16:00 ",Лада , Югра ,1,2,
"13.09.2015, 17:00 ",Северсталь , Металлург Мг ,3,4,
"13.09.2015, 17:00 ",Ак Барс , Салават Юлаев ,3,4,  Б 
"13.09.2015, 17:00 ",ЦСКА , Автомобилист ,4,1,
"14.09.2015, 12:30 ",Амур , Йокерит ,2,3,
"14.09.2015, 12:30 ",Адмирал , Динамо Р ,2,4,
"14.09.2015, 16:30 ",Авангард , ХК Сочи ,5,1,
"14.09.2015, 17:00 ",Трактор , Сибирь ,1,2,  ОТ 
"14.09.2015, 19:00 ",Нефтехимик , Металлург Нк ,1,0,
"14.09.2015, 19:30 ",Витязь , Торпедо ,1,0,  ОТ 
"14.09.2015, 19:30 ",Спартак , Динамо Мн ,1,4,
"14.09.2015, 20:30 ",Медвешчак , Слован ,2,3,  ОТ 
"15.09.2015, 19:00 ",Локомотив , Металлург Мг ,3,0,
"15.09.2015, 19:30 ",Северсталь , Автомобилист ,4,1,
"15.09.2015, 19:30 ",СКА , Динамо М ,2,4,
"15.09.2015, 19:30 ",ЦСКА , Югра ,4,0,
"16.09.2015, 17:00 ",Салават Юлаев , Барыс ,2,1,  Б 
"16.09.2015, 17:00 ",Трактор , Металлург Нк ,2,3,
"16.09.2015, 18:00 ",Лада , Торпедо ,1,2,
