18,Лион , Марсель ,0,0
19,Гренобль , Ле-Ман ,2,1
19,Лилль , Гавр ,3,1
19,Лорьян , Ренн ,1,2
19,Нант , Сошо ,1,1
19,Сент-Этьен , Осер ,2,0
19,Тулуза , Ницца ,2,2
19,Кан , Лион ,0,1
19,Марсель , Нанси ,0,3
19,ПСЖ , Валансьен ,2,2
19,Монако , Бордо ,3,4
20,Осер , Марсель ,0,2
20,Гавр , Тулуза ,0,1
20,Лион , Лорьян ,1,1
20,Монако , Нант ,1,2
20,Ренн , Гренобль ,1,0
20,Сошо , Сент-Этьен ,1,0
20,Бордо , ПСЖ ,4,0
20,Ле-Ман , Лилль ,0,0
20,Нанси , Ницца ,1,2
20,Валансьен , Кан ,2,0
21,Гренобль , Лион ,0,2
21,Лорьян , Валансьен ,1,1
21,Марсель , Гавр ,2,0
21,Ницца , Осер ,2,0
21,Сент-Этьен , Ле-Ман ,1,1
21,Тулуза , Нанси ,3,0
21,Нант , Бордо ,1,2
21,Кан , Монако ,2,2
21,ПСЖ , Сошо ,2,1
21,Лилль , Ренн ,1,0
22,Осер , Лорьян ,0,0
22,Гавр , Нанси ,2,3
22,Ле-Ман , Нант ,0,2
22,Монако , Гренобль ,1,0
22,ПСЖ , Кан ,2,0
22,Валансьен , Ницца ,1,0
22,Ренн , Тулуза ,0,0
22,Бордо , Лилль ,2,2
22,Сошо , Марсель ,1,0
22,Лион , Сент-Этьен ,1,1
23,Гавр , Ренн ,1,0
23,Лорьян , Монако ,1,1
23,Нанси , Осер ,0,2
23,Нант , ПСЖ ,1,4
23,Сент-Этьен , Кан ,3,2
23,Тулуза , Ле-Ман ,2,0
23,Лилль , Сошо ,3,2
23,Гренобль , Валансьен ,0,0
23,Ницца , Лион ,1,3
23,Марсель , Бордо ,1,0
24,Осер , Лилль ,2,0
24,Бордо , Гренобль ,1,1
24,Кан , Лорьян ,1,1
24,Ле-Ман , Ницца ,1,2
24,Ренн , Нанси ,1,1
24,Валансьен , Нант ,1,1
24,ПСЖ , Сент-Этьен ,2,1
24,Лион , Гавр ,3,1
