18,Осер , Тулуза ,1,1
18,Лилль , Ле-Ман ,3,0
18,Монако , Лион ,1,1
18,Булонь , Сошо ,0,0
19,Ланс , Сент-Этьен ,1,0
19,Ле-Ман , Монако ,1,1
19,Лорьян , Валансьен ,3,2
19,Лион , Монпелье ,1,2
19,Марсель , Осер ,0,2
19,Нанси , Лилль ,0,4
19,Ницца , Булонь ,2,2
19,ПСЖ , Гренобль ,4,0
19,Сошо , Ренн ,2,0
19,Тулуза , Бордо ,1,2
20,Осер , Булонь ,0,0
20,Гренобль , Сент-Этьен ,1,2
20,Ле-Ман , Лорьян ,0,3
20,Лилль , ПСЖ ,3,1
20,Монако , Сошо ,2,0
20,Монпелье , Ницца ,1,0
20,Нанси , Лион ,0,2
20,Ренн , Ланс ,1,1
20,Валансьен , Тулуза ,1,3
20,Бордо , Марсель ,1,1
21,Сент-Этьен , Ренн ,0,0
21,Гренобль , Бордо ,1,3
21,Ланс , Монпелье ,0,1
21,Лорьян , Лион ,1,3
21,Марсель , Ле-Ман ,2,1
21,Ницца , Осер ,0,1
21,ПСЖ , Монако ,0,1
21,Сошо , Лилль ,2,1
21,Тулуза , Нанси ,0,0
21,Булонь , Валансьен ,0,2
22,Бордо , Булонь ,0,0
22,Ле-Ман , Тулуза ,1,3
22,Лилль , Ланс ,1,0
22,Монако , Ницца ,3,2
22,Нанси , Лорьян ,1,0
22,Ренн , Гренобль ,4,0
22,Монпелье , Марсель ,2,0
22,Осер , Сент-Этьен ,1,0
22,Валансьен , Сошо ,1,1
22,Лион , ПСЖ ,2,1
23,Булонь , Монпелье ,0,2
23,Гренобль , Осер ,5,0
23,Ланс , Ле-Ман ,2,1
23,Ницца , Лилль ,1,1
23,ПСЖ , Лорьян ,0,3
23,Сошо , Нанси ,1,1
23,Ренн , Бордо ,4,2
23,Сент-Этьен , Монако ,3,0
23,Тулуза , Лион ,0,0
23,Марсель , Валансьен ,5,1
24,Ле-Ман , Сошо ,0,0
24,Лилль , Булонь ,3,1
24,Монако , Марсель ,1,2
24,Монпелье , Гренобль ,1,0
24,Нанси , ПСЖ ,0,0
24,Валансьен , Ницца ,2,1
24,Лион , Ланс ,1,0
24,Осер , Ренн ,1,0
24,Лорьян , Тулуза ,1,1
24,Бордо , Сент-Этьен ,3,1
25,Булонь , Ле-Ман ,1,3
25,Гренобль , Валансьен ,0,1
25,Ланс , Монако ,3,0
25,Ницца , Лорьян ,1,0
25,Сент-Этьен , Монпелье ,1,0
25,ПСЖ , Тулуза ,1,0
25,Марсель , Нанси ,3,1
25,Сошо , Лион ,0,4
25,Ренн , Лилль ,1,2
25,Бордо , Осер ,1,2
26,Лорьян , Сошо ,1,0
26,Лион , Ницца ,2,0
26,Монако , Булонь ,1,0
26,Нанси , Гренобль ,0,2
26,Тулуза , Ланс ,1,0
26,Валансьен , Сент-Этьен ,1,0
26,Монпелье , Ренн ,3,1
26,Лилль , Осер ,1,2
26,ПСЖ , Марсель ,0,3
26,Ле-Ман , Бордо ,2,1
27,Осер , Валансьен ,1,0
27,Булонь , Лион ,0,0
27,Ланс , ПСЖ ,1,1
27,Ницца , Нанси ,2,3
27,Ренн , Монако ,1,0
27,Сошо , Тулуза ,1,0
27,Сент-Этьен , Лилль ,1,1
27,Гренобль , Ле-Ман ,1,1
27,Марсель , Лорьян ,1,1
27,Бордо , Монпелье ,1,1
28,Ле-Ман , Ницца ,0,1
28,Лорьян , Ланс ,1,0
28,Монако , Бордо ,0,0
28,Монпелье , Осер ,1,1
28,Нанси , Булонь ,1,3
28,ПСЖ , Сошо ,4,1
28,Лион , Сент-Этьен ,1,1
28,Лилль , Гренобль ,1,0
28,Валансьен , Ренн ,0,2
28,Тулуза , Марсель ,1,1
29,Осер , Ле-Ман ,2,1
29,Булонь , Лорьян ,2,0
29,Гренобль , Монако ,0,0
29,Ницца , ПСЖ ,1,0
29,Ренн , Тулуза ,4,1
29,Сент-Этьен , Нанси ,0,0
29,Ланс , Сошо ,0,0
29,Бордо , Лилль ,3,1
29,Монпелье , Валансьен ,2,1
29,Марсель , Лион ,2,1
30,Лион , Гренобль ,2,0
30,Ле-Ман , Ренн ,1,3
30,Лорьян , Сент-Этьен ,4,0
30,Нанси , Ланс ,5,1
30,ПСЖ , Булонь ,3,0
30,Тулуза , Ницца ,0,2
30,Лилль , Монпелье ,4,1
30,Монако , Осер ,0,0
30,Сошо , Марсель ,0,1
30,Валансьен , Бордо ,2,0
31,Бордо , Нанси ,1,2
31,Гренобль , Лорьян ,1,2
31,Ницца , Сошо ,0,0
31,Ренн , Лион ,1,2
31,Сент-Этьен , Ле-Ман ,2,0
31,Валансьен , Лилль ,1,0
31,Монпелье , Монако ,0,0
31,Булонь , Тулуза ,1,1
31,Марсель , Ланс ,1,0
31,Осер , ПСЖ ,1,1
32,Ле-Ман , Монпелье ,2,2
32,Ланс , Булонь ,3,0
32,Лорьян , Ренн ,1,1
32,Монако , Валансьен ,2,1
32,Сошо , Сент-Этьен ,0,2
32,Тулуза , Гренобль ,4,0
32,ПСЖ , Бордо ,3,1
32,Лион , Лилль ,1,1
32,Нанси , Осер ,0,1
32,Марсель , Ницца ,4,1
33,Осер , Лорьян ,4,1
33,Булонь , Марсель ,1,2
33,Гренобль , Сошо ,2,2
